"GeographyCode","KS606EW0001","KS606EW0002","KS606EW0003","KS606EW0004","KS606EW0005","KS606EW0006","KS606EW0007","KS606EW0008","KS606EW0009","KS606EW0010","KS606EW0011","KS606EW0012","KS606EW0013","KS606EW0014","KS606EW0015","KS606EW0016","KS606EW0017","KS606EW0018","KS606EW0019","KS606EW0020","KS606EW0021","KS606EW0022","KS606EW0023","KS606EW0024","KS606EW0025","KS606EW0026","KS606EW0027","KS606EW0028","KS606EW0029","KS606EW0030","KS606EW0031","KS606EW0032","KS606EW0033","KS606EW0034","KS606EW0035","KS606EW0036","KS606EW0037"
"E01004259",558,0,1,9,4,1,25,46,14,82,77,40,7,77,25,14,43,45,48,0,0.17921146953405,1.61290322580645,0.716845878136201,0.17921146953405,4.48028673835125,8.24372759856631,2.5089605734767,14.6953405017921,13.7992831541219,7.16845878136201,1.25448028673835,13.7992831541219,4.48028673835125,2.5089605734767,7.70609318996416,8.06451612903226,8.60215053763441
"E01004260",402,0,1,15,0,4,13,44,25,68,51,35,10,43,18,20,26,13,16,0,0.248756218905473,3.73134328358209,0,0.995024875621891,3.23383084577114,10.9452736318408,6.21890547263682,16.9154228855721,12.6865671641791,8.70646766169154,2.48756218905473,10.6965174129353,4.47761194029851,4.97512437810945,6.46766169154229,3.23383084577114,3.98009950248756
"E01004261",314,1,0,8,0,2,8,57,22,75,20,7,4,12,11,15,33,13,26,0.318471337579618,0,2.54777070063694,0,0.636942675159236,2.54777070063694,18.1528662420382,7.00636942675159,23.8853503184713,6.36942675159236,2.22929936305732,1.27388535031847,3.82165605095541,3.5031847133758,4.77707006369427,10.5095541401274,4.14012738853503,8.28025477707006
"E01004262",338,0,0,9,2,1,18,49,25,69,30,7,5,19,26,6,33,20,19,0,0,2.66272189349112,0.591715976331361,0.29585798816568,5.32544378698225,14.4970414201183,7.39644970414201,20.414201183432,8.87573964497041,2.07100591715976,1.4792899408284,5.62130177514793,7.69230769230769,1.77514792899408,9.76331360946746,5.91715976331361,5.62130177514793
"E01004263",294,0,0,17,1,3,22,37,21,41,13,19,8,27,20,16,22,7,20,0,0,5.78231292517007,0.340136054421769,1.02040816326531,7.48299319727891,12.5850340136054,7.14285714285714,13.9455782312925,4.42176870748299,6.46258503401361,2.72108843537415,9.18367346938776,6.80272108843537,5.4421768707483,7.48299319727891,2.38095238095238,6.80272108843537
"E01004264",317,0,0,18,0,1,13,45,17,78,17,11,9,18,19,15,24,17,15,0,0,5.6782334384858,0,0.315457413249211,4.10094637223975,14.1955835962145,5.36277602523659,24.6056782334385,5.36277602523659,3.47003154574132,2.8391167192429,5.6782334384858,5.99369085173502,4.73186119873817,7.57097791798107,5.36277602523659,4.73186119873817
"E01004266",392,0,0,5,1,1,23,52,27,36,46,18,9,57,20,13,33,20,31,0,0,1.27551020408163,0.255102040816327,0.255102040816327,5.86734693877551,13.265306122449,6.88775510204082,9.18367346938776,11.734693877551,4.59183673469388,2.29591836734694,14.5408163265306,5.10204081632653,3.31632653061224,8.41836734693877,5.10204081632653,7.90816326530612
"E01004267",530,1,0,10,0,2,25,56,25,62,55,52,2,71,30,21,48,29,41,0.188679245283019,0,1.88679245283019,0,0.377358490566038,4.71698113207547,10.5660377358491,4.71698113207547,11.6981132075472,10.377358490566,9.81132075471698,0.377358490566038,13.3962264150943,5.66037735849057,3.9622641509434,9.05660377358491,5.47169811320755,7.73584905660377
"E01004268",385,0,0,11,2,4,19,61,25,73,18,21,8,36,24,10,30,27,16,0,0,2.85714285714286,0.519480519480519,1.03896103896104,4.93506493506494,15.8441558441558,6.49350649350649,18.961038961039,4.67532467532468,5.45454545454545,2.07792207792208,9.35064935064935,6.23376623376623,2.5974025974026,7.79220779220779,7.01298701298701,4.15584415584416
"E01004269",446,0,1,18,0,0,26,56,36,75,43,19,13,40,23,15,28,23,30,0,0.224215246636771,4.03587443946188,0,0,5.82959641255605,12.5560538116592,8.07174887892377,16.8161434977578,9.64125560538117,4.26008968609865,2.91479820627803,8.96860986547085,5.15695067264574,3.36322869955157,6.2780269058296,5.15695067264574,6.72645739910314
"E01004270",654,0,1,8,1,4,27,72,28,104,72,53,7,95,23,29,57,25,48,0,0.152905198776758,1.22324159021407,0.152905198776758,0.611620795107034,4.12844036697248,11.0091743119266,4.28134556574923,15.9021406727829,11.0091743119266,8.1039755351682,1.07033639143731,14.525993883792,3.51681957186544,4.43425076452599,8.71559633027523,3.82262996941896,7.3394495412844
"E01004271",296,0,0,7,0,2,12,52,25,63,14,11,8,15,23,13,20,17,14,0,0,2.36486486486486,0,0.675675675675676,4.05405405405405,17.5675675675676,8.44594594594595,21.2837837837838,4.72972972972973,3.71621621621622,2.7027027027027,5.06756756756757,7.77027027027027,4.39189189189189,6.75675675675676,5.74324324324324,4.72972972972973
"E01004272",420,0,0,19,0,1,15,58,31,120,12,21,10,24,26,14,26,24,19,0,0,4.52380952380952,0,0.238095238095238,3.57142857142857,13.8095238095238,7.38095238095238,28.5714285714286,2.85714285714286,5,2.38095238095238,5.71428571428571,6.19047619047619,3.33333333333333,6.19047619047619,5.71428571428571,4.52380952380952
"E01004273",356,0,0,11,0,0,18,60,27,68,23,26,5,23,28,15,17,18,17,0,0,3.08988764044944,0,0,5.0561797752809,16.8539325842697,7.58426966292135,19.1011235955056,6.46067415730337,7.30337078651685,1.40449438202247,6.46067415730337,7.86516853932584,4.21348314606742,4.7752808988764,5.0561797752809,4.7752808988764
"E01004274",487,0,0,13,0,1,28,51,25,66,50,87,10,47,17,25,30,14,23,0,0,2.6694045174538,0,0.205338809034908,5.74948665297741,10.4722792607803,5.13347022587269,13.5523613963039,10.2669404517454,17.864476386037,2.05338809034908,9.65092402464066,3.49075975359343,5.13347022587269,6.16016427104723,2.87474332648871,4.72279260780287
"E01004275",578,0,1,14,1,2,42,43,26,40,67,125,10,87,31,19,24,16,30,0,0.173010380622837,2.42214532871972,0.173010380622837,0.346020761245675,7.26643598615917,7.43944636678201,4.49826989619377,6.9204152249135,11.5916955017301,21.6262975778547,1.73010380622837,15.0519031141869,5.36332179930796,3.28719723183391,4.1522491349481,2.7681660899654,5.19031141868512
"E01004276",882,0,0,11,2,0,33,45,21,22,113,297,11,159,27,40,37,28,36,0,0,1.24716553287982,0.226757369614512,0,3.74149659863946,5.10204081632653,2.38095238095238,2.49433106575964,12.81179138322,33.6734693877551,1.24716553287982,18.0272108843537,3.06122448979592,4.53514739229025,4.19501133786848,3.17460317460317,4.08163265306122
"E01004277",746,0,4,13,1,0,25,27,11,13,60,392,10,106,18,9,13,27,17,0,0.536193029490617,1.7426273458445,0.134048257372654,0,3.35120643431635,3.61930294906166,1.4745308310992,1.7426273458445,8.04289544235925,52.5469168900804,1.34048257372654,14.2091152815013,2.41286863270777,1.20643431635389,1.7426273458445,3.61930294906166,2.27882037533512
"E01004280",544,0,0,15,1,3,28,44,35,43,48,152,14,68,20,20,16,13,24,0,0,2.75735294117647,0.183823529411765,0.551470588235294,5.14705882352941,8.08823529411765,6.43382352941176,7.90441176470588,8.82352941176471,27.9411764705882,2.57352941176471,12.5,3.67647058823529,3.67647058823529,2.94117647058824,2.38970588235294,4.41176470588235
"E01004281",693,0,2,17,3,0,29,49,34,47,91,191,5,85,24,28,32,31,25,0,0.288600288600289,2.45310245310245,0.432900432900433,0,4.18470418470418,7.07070707070707,4.90620490620491,6.78210678210678,13.1313131313131,27.5613275613276,0.721500721500722,12.2655122655123,3.46320346320346,4.04040404040404,4.61760461760462,4.47330447330447,3.60750360750361
"E01004283",470,0,1,7,1,0,24,79,35,81,30,16,10,42,32,18,40,27,27,0,0.212765957446809,1.48936170212766,0.212765957446809,0,5.1063829787234,16.8085106382979,7.4468085106383,17.2340425531915,6.38297872340426,3.40425531914894,2.12765957446809,8.93617021276596,6.80851063829787,3.82978723404255,8.51063829787234,5.74468085106383,5.74468085106383
"E01004284",573,0,1,17,1,0,24,63,27,61,46,47,8,60,29,37,67,60,25,0,0.174520069808028,2.96684118673647,0.174520069808028,0,4.18848167539267,10.9947643979058,4.71204188481675,10.6457242582897,8.02792321116928,8.20244328097731,1.39616055846422,10.4712041884817,5.06108202443281,6.45724258289703,11.6928446771379,10.4712041884817,4.3630017452007
"E01004285",425,0,0,11,0,2,20,71,37,83,14,22,12,28,33,15,31,27,19,0,0,2.58823529411765,0,0.470588235294118,4.70588235294118,16.7058823529412,8.70588235294118,19.5294117647059,3.29411764705882,5.17647058823529,2.82352941176471,6.58823529411765,7.76470588235294,3.52941176470588,7.29411764705882,6.35294117647059,4.47058823529412
"E01004286",510,1,2,26,0,0,28,70,46,62,36,42,12,40,28,26,31,34,26,0.196078431372549,0.392156862745098,5.09803921568627,0,0,5.49019607843137,13.7254901960784,9.01960784313725,12.156862745098,7.05882352941176,8.23529411764706,2.35294117647059,7.84313725490196,5.49019607843137,5.09803921568627,6.07843137254902,6.66666666666667,5.09803921568627
"E01004287",482,0,0,17,2,0,22,60,46,80,30,46,10,41,27,20,26,34,21,0,0,3.52697095435685,0.4149377593361,0,4.5643153526971,12.448132780083,9.54356846473029,16.597510373444,6.22406639004149,9.54356846473029,2.0746887966805,8.50622406639004,5.60165975103734,4.149377593361,5.39419087136929,7.05394190871369,4.35684647302905
"E01004288",313,0,0,11,0,1,26,45,30,46,17,24,5,23,17,8,21,22,17,0,0,3.51437699680511,0,0.319488817891374,8.30670926517572,14.3769968051118,9.58466453674121,14.6964856230032,5.43130990415335,7.66773162939297,1.59744408945687,7.3482428115016,5.43130990415335,2.55591054313099,6.70926517571885,7.02875399361022,5.43130990415335
"E01004289",416,0,0,8,0,1,15,51,28,75,23,40,9,48,25,15,30,28,20,0,0,1.92307692307692,0,0.240384615384615,3.60576923076923,12.2596153846154,6.73076923076923,18.0288461538462,5.52884615384615,9.61538461538462,2.16346153846154,11.5384615384615,6.00961538461539,3.60576923076923,7.21153846153846,6.73076923076923,4.80769230769231
