"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E00167115",386,262,140,86,36,113,57,26,30,7,4,3,0,4,1,3,0
"E00167116",112,40,14,9,17,48,13,8,27,13,5,7,1,11,5,6,0
"E00167117",50,30,3,25,2,14,2,9,3,6,2,4,0,0,0,0,0
"E00167118",137,72,22,43,7,56,28,20,8,7,4,3,0,2,1,1,0
"E00167119",137,58,15,26,17,63,25,23,15,8,4,2,2,8,2,5,1
"E00167120",139,101,37,40,24,32,14,9,9,5,2,1,2,1,1,0,0
"E00167121",139,77,24,42,11,56,21,23,12,6,2,4,0,0,0,0,0
"E00167122",125,59,29,28,2,48,27,16,5,10,6,4,0,8,2,6,0
"E00167123",116,39,9,17,13,66,11,13,42,7,2,5,0,4,3,1,0
"E00167124",137,70,30,31,9,63,25,16,22,2,0,0,2,2,0,1,1
"E00167125",92,52,19,28,5,36,12,14,10,1,0,1,0,3,3,0,0
"E00167126",177,124,29,81,14,47,20,16,11,6,1,5,0,0,0,0,0
"E00167127",122,60,21,27,12,45,14,21,10,12,2,7,3,5,3,1,1
"E00167128",95,40,12,11,17,44,15,7,22,9,2,2,5,2,1,0,1
"E00167129",321,203,77,84,42,101,41,39,21,14,7,5,2,3,0,3,0
"E00167130",466,326,137,133,56,129,61,36,32,9,5,4,0,2,2,0,0
"E00167131",63,7,1,4,2,14,2,4,8,8,5,1,2,34,28,4,2
"E00167132",289,204,138,65,1,75,51,21,3,10,6,4,0,0,0,0,0
"E00167133",82,27,8,10,9,37,15,12,10,8,8,0,0,10,7,3,0
"E00167134",137,73,31,34,8,44,31,11,2,14,6,8,0,6,3,3,0
"E00167135",130,54,17,28,9,66,24,23,19,9,3,5,1,1,0,1,0
"E00167136",57,14,3,6,5,26,6,6,14,9,1,6,2,8,5,3,0
"E00167137",135,79,34,41,4,50,27,17,6,5,2,3,0,1,0,1,0
"E00167138",134,100,44,39,17,29,15,9,5,3,2,1,0,2,0,2,0
"E00167139",212,153,101,45,7,53,35,12,6,5,4,1,0,1,0,1,0
"E00167140",131,103,34,46,23,25,17,5,3,1,1,0,0,2,2,0,0
"E00167141",169,120,40,73,7,45,21,14,10,2,2,0,0,2,1,0,1
"E00167142",216,102,24,74,4,96,33,41,22,11,7,2,2,7,1,6,0
"E00167143",114,43,6,22,15,40,8,10,22,19,8,10,1,12,6,5,1
"E00167144",120,36,7,7,22,48,8,5,35,13,2,8,3,23,7,13,3
"E00167145",103,70,19,44,7,28,16,6,6,2,0,2,0,3,0,3,0
"E00167146",161,114,40,60,14,39,20,13,6,3,1,2,0,5,1,4,0
"E00167147",109,69,13,13,43,35,12,8,15,5,3,1,1,0,0,0,0
"E00167148",119,73,34,38,1,41,23,16,2,4,4,0,0,1,0,1,0
"E00167149",82,59,16,28,15,20,6,10,4,3,1,2,0,0,0,0,0
"E00167150",209,168,70,81,17,39,20,17,2,2,0,2,0,0,0,0,0
"E00167151",239,167,71,81,15,61,27,23,11,6,6,0,0,5,2,3,0
"E00167152",117,83,48,32,3,27,19,8,0,5,4,1,0,2,1,1,0
