"GeographyCode","KS106EW0001","KS106EW0002","KS106EW0003","KS106EW0004","KS106EW0005","KS106EW0006","KS106EW0007","KS106EW0008","KS106EW0009","KS106EW0010","KS106EW0011","KS106EW0012","KS106EW0013"
"E01004255",647,55,145,192,91,38,118,8.50077279752705,22.4111282843895,29.6754250386399,14.064914992272,5.87326120556414,18.2380216383308
"E01004256",611,76,152,239,128,51,105,12.4386252045827,24.8772504091653,39.1162029459902,20.949263502455,8.34697217675941,17.1849427168576
"E01004257",618,104,114,296,144,64,74,16.8284789644013,18.4466019417476,47.8964401294498,23.3009708737864,10.3559870550162,11.9741100323625
"E01004258",713,26,125,142,81,19,102,3.64656381486676,17.531556802244,19.9158485273492,11.3604488078541,2.66479663394109,14.3057503506311
"E01004259",812,42,151,143,79,37,113,5.17241379310345,18.5960591133005,17.6108374384236,9.72906403940887,4.55665024630542,13.9162561576355
"E01004260",636,69,137,220,112,53,122,10.8490566037736,21.5408805031447,34.5911949685535,17.6100628930818,8.33333333333333,19.1823899371069
"E01004261",550,44,192,154,81,37,100,8,34.9090909090909,28,14.7272727272727,6.72727272727273,18.1818181818182
"E01004262",495,32,147,128,60,32,103,6.46464646464646,29.6969696969697,25.8585858585859,12.1212121212121,6.46464646464646,20.8080808080808
"E01004263",529,58,145,173,64,37,124,10.9640831758034,27.4102079395085,32.703213610586,12.0982986767486,6.99432892249527,23.4404536862004
"E01004264",457,62,89,193,106,51,93,13.5667396061269,19.4748358862144,42.2319474835886,23.1947483588621,11.1597374179431,20.3501094091904
"E01004266",583,45,127,168,74,38,112,7.71869639794168,21.7838765008576,28.8164665523156,12.6929674099485,6.5180102915952,19.2109777015437
"E01004267",707,56,119,164,78,45,80,7.92079207920792,16.8316831683168,23.1966053748232,11.032531824611,6.36492220650637,11.3154172560113
"E01004268",688,78,174,220,116,47,143,11.3372093023256,25.2906976744186,31.9767441860465,16.8604651162791,6.83139534883721,20.7848837209302
"E01004269",726,56,194,211,117,34,155,7.71349862258953,26.7217630853994,29.0633608815427,16.1157024793388,4.6831955922865,21.3498622589532
"E01004270",745,47,103,185,98,40,81,6.30872483221477,13.8255033557047,24.8322147651007,13.1543624161074,5.36912751677852,10.8724832214765
"E01004271",548,63,135,239,151,37,90,11.4963503649635,24.6350364963504,43.6131386861314,27.5547445255474,6.75182481751825,16.4233576642336
"E01004272",639,97,119,319,176,92,110,15.1799687010955,18.622848200313,49.9217527386541,27.5430359937402,14.3974960876369,17.2143974960876
"E01004273",594,95,103,276,131,69,108,15.993265993266,17.3400673400673,46.4646464646465,22.0538720538721,11.6161616161616,18.1818181818182
"E01004274",654,61,101,260,145,55,85,9.32721712538226,15.4434250764526,39.7553516819572,22.17125382263,8.40978593272171,12.9969418960245
"E01004275",768,47,102,216,128,32,90,6.11979166666667,13.28125,28.125,16.6666666666667,4.16666666666667,11.71875
"E01004276",996,14,74,131,98,7,46,1.40562248995984,7.42971887550201,13.1526104417671,9.83935742971888,0.70281124497992,4.61847389558233
"E01004277",898,4,76,121,96,6,47,0.44543429844098,8.46325167037862,13.4743875278396,10.6904231625835,0.66815144766147,5.23385300668151
"E01004280",769,51,127,233,143,51,87,6.63198959687906,16.5149544863459,30.2990897269181,18.5955786736021,6.63198959687906,11.3133940182055
"E01004281",831,32,64,165,111,16,50,3.85078219013237,7.70156438026474,19.85559566787,13.3574007220217,1.92539109506619,6.01684717208183
"E01004283",756,75,168,257,101,74,134,9.92063492063492,22.2222222222222,33.994708994709,13.3597883597884,9.78835978835979,17.7248677248677
"E01004284",884,67,158,282,168,63,128,7.57918552036199,17.8733031674208,31.9004524886878,19.0045248868778,7.12669683257919,14.4796380090498
"E01004285",658,85,146,318,167,70,114,12.9179331306991,22.1884498480243,48.3282674772036,25.3799392097264,10.6382978723404,17.3252279635258
"E01004286",817,86,180,297,163,73,153,10.5263157894737,22.03182374541,36.3525091799266,19.9510403916769,8.93512851897185,18.7270501835985
