"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E00021177",310,82,24,154,9,11,18,12,26.4516129032258,7.74193548387097,49.6774193548387,2.90322580645161,3.54838709677419,5.80645161290323,3.87096774193548
"E00021179",293,60,48,160,4,6,12,3,20.4778156996587,16.382252559727,54.6075085324232,1.36518771331058,2.04778156996587,4.09556313993174,1.02389078498294
"E00021180",340,82,32,164,15,15,20,12,24.1176470588235,9.41176470588235,48.2352941176471,4.41176470588235,4.41176470588235,5.88235294117647,3.52941176470588
"E00021181",209,34,30,113,6,12,7,7,16.2679425837321,14.3540669856459,54.066985645933,2.87081339712919,5.74162679425837,3.34928229665072,3.34928229665072
"E00021182",317,44,66,185,2,8,10,2,13.8801261829653,20.820189274448,58.3596214511041,0.630914826498423,2.52365930599369,3.15457413249211,0.630914826498423
"E00021183",222,48,48,113,1,3,9,0,21.6216216216216,21.6216216216216,50.9009009009009,0.45045045045045,1.35135135135135,4.05405405405405,0
"E00021184",132,38,22,63,1,1,4,3,28.7878787878788,16.6666666666667,47.7272727272727,0.757575757575758,0.757575757575758,3.03030303030303,2.27272727272727
"E00021185",244,64,26,121,3,8,15,7,26.2295081967213,10.655737704918,49.5901639344262,1.22950819672131,3.27868852459016,6.14754098360656,2.86885245901639
"E00021186",351,106,24,150,20,13,17,21,30.1994301994302,6.83760683760684,42.7350427350427,5.6980056980057,3.7037037037037,4.84330484330484,5.98290598290598
"E00021187",198,94,10,55,8,8,13,10,47.4747474747475,5.05050505050505,27.7777777777778,4.04040404040404,4.04040404040404,6.56565656565657,5.05050505050505
"E00021188",261,44,20,136,10,5,24,22,16.8582375478927,7.66283524904215,52.1072796934866,3.83141762452107,1.91570881226054,9.19540229885057,8.42911877394636
"E00021189",320,82,22,167,15,6,12,16,25.625,6.875,52.1875,4.6875,1.875,3.75,5
"E00021190",381,80,48,217,6,8,11,11,20.997375328084,12.5984251968504,56.9553805774278,1.5748031496063,2.0997375328084,2.88713910761155,2.88713910761155
"E00021191",305,112,34,125,10,4,8,12,36.7213114754098,11.1475409836066,40.9836065573771,3.27868852459016,1.31147540983607,2.62295081967213,3.9344262295082
"E00021192",248,82,10,106,14,7,15,14,33.0645161290323,4.03225806451613,42.741935483871,5.64516129032258,2.82258064516129,6.04838709677419,5.64516129032258
"E00021193",314,48,60,185,6,3,11,1,15.2866242038217,19.1082802547771,58.9171974522293,1.91082802547771,0.955414012738854,3.5031847133758,0.318471337579618
"E00021194",413,146,18,187,22,12,20,8,35.3510895883777,4.35835351089588,45.2784503631961,5.32687651331719,2.90556900726392,4.84261501210654,1.93704600484262
