"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E01004263",1419,83,60,44,114,20,50,50,157,131,304,200,49,63,65,18,11,5.8491895701198,4.22832980972516,3.10077519379845,8.0338266384778,1.40944326990839,3.52360817477097,3.52360817477097,11.0641296687808,9.23185341789993,21.4235377026075,14.0944326990839,3.45313601127555,4.43974630021142,4.58069062720226,1.26849894291755,0.775193798449612
"E01004264",1537,139,81,56,116,21,34,46,223,194,327,150,30,65,36,13,6,9.04359141184125,5.27000650618087,3.64346128822381,7.54716981132075,1.36629798308393,2.2121014964216,2.99284320104099,14.508783344177,12.6219908913468,21.2752114508783,9.75927130774235,1.95185426154847,4.22901756668835,2.34222511385817,0.845803513337671,0.390370852309694
"E01004266",1545,87,69,32,81,19,37,38,158,238,381,223,50,68,51,10,3,5.63106796116505,4.46601941747573,2.07119741100324,5.24271844660194,1.22977346278317,2.39482200647249,2.45954692556634,10.2265372168285,15.4045307443366,24.6601941747573,14.4336569579288,3.23624595469256,4.40129449838188,3.30097087378641,0.647249190938511,0.194174757281553
"E01004267",1767,105,52,34,94,27,44,66,250,341,450,208,34,38,18,3,3,5.94227504244482,2.94284097340125,1.92416525183928,5.31975099037917,1.52801358234295,2.49009620826259,3.73514431239389,14.1482739105829,19.2982456140351,25.4668930390492,11.771363893605,1.92416525183928,2.1505376344086,1.01867572156197,0.169779286926995,0.169779286926995
"E01004268",1784,150,85,60,117,28,42,35,202,249,459,207,36,60,40,8,6,8.40807174887892,4.76457399103139,3.36322869955157,6.55829596412556,1.5695067264574,2.3542600896861,1.96188340807175,11.3228699551569,13.957399103139,25.7286995515695,11.6031390134529,2.01793721973094,3.36322869955157,2.24215246636771,0.448430493273543,0.336322869955157
"E01004269",1975,158,84,47,96,20,28,39,310,318,468,198,31,80,75,16,7,8,4.25316455696203,2.37974683544304,4.86075949367089,1.0126582278481,1.41772151898734,1.9746835443038,15.6962025316456,16.1012658227848,23.6962025316456,10.0253164556962,1.56962025316456,4.05063291139241,3.79746835443038,0.810126582278481,0.354430379746835
"E01004270",2236,124,53,42,102,23,50,52,464,429,582,193,42,44,26,5,5,5.54561717352415,2.37030411449016,1.8783542039356,4.56171735241503,1.02862254025045,2.23613595706619,2.32558139534884,20.7513416815742,19.1860465116279,26.0286225402504,8.63148479427549,1.8783542039356,1.96779964221825,1.16279069767442,0.223613595706619,0.223613595706619
"E01004271",1589,205,85,63,119,19,24,46,170,169,387,173,37,50,36,4,2,12.901195720579,5.34927627438641,3.9647577092511,7.48898678414097,1.19572057898049,1.51038388923851,2.89490245437382,10.6985525487728,10.6356198867212,24.3549402139711,10.8873505349276,2.32850849590938,3.14663310258024,2.26557583385777,0.251730648206419,0.12586532410321
"E01004272",2099,215,132,85,184,40,71,73,177,233,514,217,39,78,39,2,0,10.2429728442115,6.28870890900429,4.04954740352549,8.7660790852787,1.90566936636494,3.38256312529776,3.47784659361601,8.43258694616484,11.1005240590758,24.4878513577894,10.3382563125298,1.85802763220581,3.71605526441162,1.85802763220581,0.0952834683182468,0
"E01004273",1904,160,103,71,176,33,52,70,222,213,419,237,38,68,33,7,2,8.40336134453782,5.40966386554622,3.72899159663866,9.2436974789916,1.73319327731092,2.73109243697479,3.67647058823529,11.6596638655462,11.186974789916,22.0063025210084,12.4474789915966,1.99579831932773,3.57142857142857,1.73319327731092,0.367647058823529,0.105042016806723
"E01004274",1973,181,77,54,107,28,51,55,261,289,486,251,48,56,25,4,0,9.17384693360365,3.90268626457172,2.73694880892043,5.42321338063862,1.41915864166244,2.58489609731374,2.78763304612266,13.2285859097821,14.6477445514445,24.6325392802838,12.7217435377598,2.43284338570705,2.83831728332489,1.26710593005575,0.20273694880892,0
"E01004275",1879,160,60,42,83,13,29,25,213,270,585,236,53,63,33,12,2,8.51516764236296,3.19318786588611,2.23523150612028,4.41724321447578,0.69185737094199,1.54337413517829,1.33049494411921,11.3358169238957,14.3693453964875,31.1335816923896,12.5598722724854,2.82064928153273,3.35284725918042,1.75625332623736,0.638637573177222,0.106439595529537
"E01004276",2024,116,24,9,21,3,9,17,213,445,826,247,53,31,5,4,1,5.73122529644269,1.18577075098814,0.444664031620553,1.03754940711462,0.148221343873518,0.444664031620553,0.839920948616601,10.5237154150198,21.9861660079051,40.8102766798419,12.203557312253,2.61857707509881,1.53162055335968,0.24703557312253,0.197628458498024,0.0494071146245059
"E01004277",1630,112,18,8,12,0,2,6,140,315,708,223,41,39,6,0,0,6.87116564417178,1.10429447852761,0.49079754601227,0.736196319018405,0,0.122699386503067,0.368098159509202,8.58895705521472,19.3251533742331,43.4355828220859,13.680981595092,2.51533742331288,2.39263803680982,0.368098159509202,0,0
"E01004280",1879,177,82,31,99,17,55,34,166,257,575,248,35,65,30,5,3,9.41990420436402,4.36402341671102,1.64981373070782,5.26875997871208,0.904736562001064,2.92708887706227,1.80947312400213,8.83448642895157,13.6774880255455,30.6013837147419,13.1985098456626,1.8626929217669,3.45928685470995,1.59659393294305,0.266098988823842,0.159659393294305
"E01004281",1770,137,30,26,39,7,20,28,191,389,670,176,33,17,4,2,1,7.74011299435028,1.69491525423729,1.46892655367232,2.20338983050847,0.395480225988701,1.12994350282486,1.5819209039548,10.7909604519774,21.9774011299435,37.8531073446328,9.94350282485876,1.86440677966102,0.96045197740113,0.225988700564972,0.112994350282486,0.0564971751412429
"E01004283",2317,127,86,64,174,29,90,107,324,278,455,283,63,95,89,39,14,5.48122572291757,3.71169615882607,2.76219249028917,7.50971083297367,1.25161847216228,3.88433318946914,4.6180405697022,13.9835994820889,11.9982736296936,19.6374622356495,12.2140699179974,2.7190332326284,4.10012947777298,3.84117393180837,1.68321104876996,0.604229607250755
"E01004284",2302,218,93,54,138,33,49,58,217,333,706,224,42,70,54,6,7,9.47002606429192,4.03996524761077,2.34578627280626,5.99478714161599,1.43353605560382,2.12858384013901,2.51954821894005,9.42658557775847,14.4656820156386,30.6689834926151,9.73066898349261,1.82450043440487,3.04083405734144,2.34578627280626,0.260642919200695,0.304083405734144
"E01004285",2318,220,152,85,216,40,66,69,287,238,509,254,59,63,43,13,4,9.4909404659189,6.55737704918033,3.66695427092321,9.3183779119931,1.72562553925798,2.84728213977567,2.97670405522002,12.381363244176,10.267471958585,21.9585849870578,10.9577221742882,2.54529767040552,2.71786022433132,1.85504745470233,0.560828300258844,0.172562553925798
