"GeographyCode","QS604EW0001","QS604EW0002","QS604EW0003","QS604EW0004","QS604EW0005","QS604EW0006","QS604EW0007"
"E00021713",109,30,7,23,79,72,7
"E00021714",100,39,13,26,61,49,12
"E00021715",149,56,24,32,93,78,15
"E00021716",108,25,7,18,83,70,13
"E00021717",114,26,7,19,88,71,17
"E00021718",230,48,22,26,182,129,53
"E00021719",72,19,4,15,53,42,11
"E00021722",204,76,26,50,128,109,19
"E00021723",137,29,6,23,108,84,24
"E00021724",178,39,10,29,139,90,49
"E00021725",146,18,6,12,128,83,45
"E00021726",92,36,11,25,56,49,7
"E00021727",84,33,8,25,51,43,8
"E00021728",97,22,12,10,75,58,17
"E00021729",82,26,5,21,56,41,15
"E00021730",154,47,18,29,107,90,17
"E00021731",158,46,10,36,112,91,21
"E00021732",142,37,14,23,105,68,37
"E00021733",332,70,22,48,262,200,62
"E00021734",191,72,28,44,119,96,23
"E00021735",158,64,21,43,94,80,14
"E00021736",158,64,17,47,94,78,16
"E00021737",129,34,6,28,95,68,27
"E00021738",125,50,18,32,75,53,22
"E00021739",176,31,11,20,145,106,39
"E00021740",169,57,16,41,112,94,18
"E00021741",196,9,3,6,187,113,74
"E00021742",252,59,18,41,193,128,65
"E00021743",136,54,23,31,82,58,24
"E00021744",368,37,15,22,331,198,133
"E00021745",89,33,7,26,56,49,7
"E00021746",193,26,8,18,167,110,57
"E00021748",274,83,39,44,191,137,54
"E00021750",139,71,19,52,68,53,15
"E00021752",149,50,18,32,99,84,15
"E00021753",96,44,21,23,52,44,8
"E00021754",68,23,10,13,45,36,9
"E00021755",193,60,25,35,133,106,27
"E00021756",119,22,8,14,97,75,22
"E00021757",83,32,9,23,51,43,8
"E00021758",157,48,18,30,109,93,16
"E00021759",138,67,21,46,71,61,10
"E00021760",111,53,13,40,58,49,9
"E00021761",136,20,12,8,116,92,24
"E00021762",140,50,21,29,90,78,12
"E00021763",156,60,21,39,96,78,18
"E00021764",243,69,32,37,174,142,32
"E00021766",158,39,13,26,119,87,32
"E00021767",120,31,14,17,89,74,15
"E00167078",226,81,47,34,145,98,47
"E00167079",175,11,4,7,164,123,41
"E00167080",169,44,12,32,125,102,23
"E00167081",183,26,15,11,157,108,49
"E00167082",185,23,8,15,162,125,37
"E00167083",144,31,14,17,113,87,26
"E00167084",153,30,9,21,123,100,23
"E00167085",132,27,9,18,105,86,19
"E00167086",188,46,17,29,142,104,38
"E00167087",219,16,7,9,203,138,65
"E00167088",157,20,10,10,137,89,48
"E00167089",115,27,9,18,88,72,16
"E00167090",121,19,6,13,102,81,21
"E00167091",203,33,7,26,170,122,48
"E00167092",174,34,9,25,140,101,39
"E00167093",133,15,4,11,118,73,45
"E00167094",200,23,14,9,177,121,56
"E00167095",133,37,13,24,96,75,21
"E00167096",105,15,8,7,90,56,34
"E00167097",163,18,8,10,145,84,61
"E00167098",117,6,2,4,111,49,62
"E00167099",92,10,3,7,82,39,43
"E00167100",438,30,12,18,408,225,183
"E00167101",205,9,4,5,196,102,94
"E00167102",156,50,17,33,106,68,38
"E00167103",179,8,3,5,171,99,72
"E00167104",179,10,3,7,169,90,79
"E00167105",142,58,16,42,84,73,11
"E00167106",232,21,13,8,211,129,82
"E00167107",136,20,3,17,116,68,48
"E00167108",170,41,13,28,129,105,24
"E00167109",152,18,7,11,134,87,47
"E00167110",161,23,9,14,138,95,43
"E00167111",218,19,9,10,199,127,72
"E00167112",525,51,26,25,474,309,165
"E00167113",169,39,14,25,130,88,42
"E00167114",170,55,24,31,115,92,23
"E00167115",407,48,12,36,359,248,111
"E00167116",111,34,8,26,77,58,19
"E00167117",92,4,2,2,88,65,23
"E00167118",183,14,4,10,169,101,68
"E00167119",170,33,9,24,137,90,47
"E00167120",176,28,9,19,148,108,40
"E00167121",194,9,4,5,185,70,115
"E00167122",140,12,8,4,128,73,55
"E00167123",145,49,15,34,96,86,10
"E00167124",178,32,13,19,146,101,45
"E00167125",118,4,1,3,114,80,34
"E00167126",264,24,7,17,240,165,75
"E00167127",174,17,9,8,157,102,55
"E00167128",94,34,8,26,60,47,13
"E00167129",392,44,14,30,348,200,148
"E00167130",525,59,26,33,466,307,159
"E00167131",48,16,8,8,32,26,6
"E00167132",300,20,6,14,280,160,120
"E00167133",92,21,3,18,71,54,17
"E00167134",180,16,10,6,164,113,51
"E00167135",196,9,4,5,187,113,74
"E00167136",70,23,6,17,47,42,5
"E00167137",172,9,5,4,163,89,74
"E00167138",139,17,3,14,122,80,42
"E00167139",208,17,10,7,191,94,97
"E00167140",144,23,9,14,121,92,29
"E00167141",250,13,4,9,237,162,75
"E00167142",342,24,8,16,318,196,122
"E00167143",150,44,17,27,106,92,14
"E00167144",118,50,16,34,68,59,9
"E00167145",146,16,6,10,130,76,54
"E00167146",222,13,3,10,209,152,57
"E00167147",101,38,15,23,63,49,14
"E00167148",157,5,2,3,152,79,73
"E00167149",108,9,3,6,99,67,32
"E00167150",276,31,8,23,245,190,55
"E00167151",317,19,5,14,298,159,139
"E00167152",121,3,0,3,118,68,50
"E00167153",115,40,14,26,75,47,28
"E00167154",166,15,3,12,151,99,52
"E00167155",224,25,13,12,199,134,65
"E00167156",111,39,9,30,72,62,10
"E00167157",272,18,10,8,254,133,121
"E00167158",201,13,6,7,188,83,105
"E00167159",165,19,10,9,146,70,76
"E00167160",145,41,11,30,104,76,28
"E00167161",99,23,7,16,76,67,9
"E00167162",255,15,7,8,240,164,76
"E00167163",205,26,12,14,179,146,33
"E00167164",58,12,2,10,46,37,9
"E00167165",202,12,4,8,190,122,68
"E00167166",342,33,13,20,309,232,77
"E00167167",226,23,8,15,203,137,66
"E00167168",190,16,7,9,174,104,70
"E00167169",139,40,18,22,99,76,23
"E00167170",123,11,6,5,112,62,50
"E00167171",78,42,15,27,36,31,5
"E00167172",151,26,6,20,125,98,27
"E00167173",147,67,10,57,80,69,11
"E00167174",182,21,7,14,161,86,75
"E00167175",142,16,3,13,126,56,70
"E00167176",230,47,19,28,183,132,51
"E00167177",208,23,4,19,185,117,68
"E00167178",177,30,10,20,147,97,50
"E00167179",192,36,11,25,156,112,44
"E00167180",130,36,13,23,94,79,15
"E00167181",94,20,6,14,74,55,19
"E00167182",53,19,10,9,34,22,12
"E00167183",105,5,4,1,100,57,43
"E00167184",100,21,10,11,79,60,19
"E00167185",88,31,9,22,57,50,7
"E00167186",190,24,10,14,166,113,53
"E00167187",166,31,19,12,135,110,25
"E00167188",249,24,12,12,225,161,64
"E00167189",169,34,18,16,135,95,40
"E00167190",140,22,8,14,118,84,34
"E00167191",189,11,5,6,178,137,41
"E00167192",157,25,12,13,132,102,30
"E00167193",83,27,10,17,56,48,8
"E00167194",149,20,10,10,129,101,28
"E00167195",127,17,3,14,110,81,29
"E00167196",69,17,6,11,52,45,7
"E00167197",119,28,7,21,91,76,15
"E00167198",205,69,27,42,136,114,22
"E00167199",124,16,5,11,108,86,22
"E00167200",166,27,4,23,139,95,44
"E00167201",104,35,7,28,69,61,8
"E00167202",67,22,6,16,45,34,11
