"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E00021258",19,6,3,10,2,2,0,0,17,4,3,10,31.5789473684211,15.7894736842105,52.6315789473684,10.5263157894737,10.5263157894737,0,0,89.4736842105263,21.0526315789474,15.7894736842105,52.6315789473684
"E00021259",16,4,3,9,1,0,1,0,15,4,2,9,25,18.75,56.25,6.25,0,6.25,0,93.75,25,12.5,56.25
"E00021260",14,3,3,8,3,0,2,1,11,3,1,7,21.4285714285714,21.4285714285714,57.1428571428571,21.4285714285714,0,14.2857142857143,7.14285714285714,78.5714285714286,21.4285714285714,7.14285714285714,50
"E00021261",17,2,3,12,1,0,0,1,16,2,3,11,11.7647058823529,17.6470588235294,70.5882352941177,5.88235294117647,0,0,5.88235294117647,94.1176470588235,11.7647058823529,17.6470588235294,64.7058823529412
"E00021262",15,3,1,11,0,0,0,0,15,3,1,11,20,6.66666666666667,73.3333333333333,0,0,0,0,100,20,6.66666666666667,73.3333333333333
"E00021263",14,2,2,10,1,1,0,0,13,1,2,10,14.2857142857143,14.2857142857143,71.4285714285714,7.14285714285714,7.14285714285714,0,0,92.8571428571429,7.14285714285714,14.2857142857143,71.4285714285714
"E00021266",16,5,6,5,5,0,4,1,11,5,2,4,31.25,37.5,31.25,31.25,0,25,6.25,68.75,31.25,12.5,25
"E00021267",29,9,5,15,3,0,0,3,26,9,5,12,31.0344827586207,17.2413793103448,51.7241379310345,10.3448275862069,0,0,10.3448275862069,89.6551724137931,31.0344827586207,17.2413793103448,41.3793103448276
"E00021268",15,5,2,8,1,0,0,1,14,5,2,7,33.3333333333333,13.3333333333333,53.3333333333333,6.66666666666667,0,0,6.66666666666667,93.3333333333333,33.3333333333333,13.3333333333333,46.6666666666667
"E00021271",11,2,3,6,0,0,0,0,11,2,3,6,18.1818181818182,27.2727272727273,54.5454545454545,0,0,0,0,100,18.1818181818182,27.2727272727273,54.5454545454545
"E00021272",5,1,2,2,1,0,0,1,4,1,2,1,20,40,40,20,0,0,20,80,20,40,20
"E00021273",6,2,1,3,0,0,0,0,6,2,1,3,33.3333333333333,16.6666666666667,50,0,0,0,0,100,33.3333333333333,16.6666666666667,50
"E00021274",31,5,3,23,1,0,1,0,30,5,2,23,16.1290322580645,9.67741935483871,74.1935483870968,3.2258064516129,0,3.2258064516129,0,96.7741935483871,16.1290322580645,6.45161290322581,74.1935483870968
"E00021275",15,6,1,8,0,0,0,0,15,6,1,8,40,6.66666666666667,53.3333333333333,0,0,0,0,100,40,6.66666666666667,53.3333333333333
"E00021277",9,0,3,6,0,0,0,0,9,0,3,6,0,33.3333333333333,66.6666666666667,0,0,0,0,100,0,33.3333333333333,66.6666666666667
"E00021278",12,3,2,7,1,0,1,0,11,3,1,7,25,16.6666666666667,58.3333333333333,8.33333333333333,0,8.33333333333333,0,91.6666666666667,25,8.33333333333333,58.3333333333333
"E00021279",20,6,0,14,1,0,0,1,19,6,0,13,30,0,70,5,0,0,5,95,30,0,65
"E00021280",14,2,3,9,0,0,0,0,14,2,3,9,14.2857142857143,21.4285714285714,64.2857142857143,0,0,0,0,100,14.2857142857143,21.4285714285714,64.2857142857143
"E00021281",16,3,3,10,0,0,0,0,16,3,3,10,18.75,18.75,62.5,0,0,0,0,100,18.75,18.75,62.5
"E00021282",12,1,3,8,0,0,0,0,12,1,3,8,8.33333333333333,25,66.6666666666667,0,0,0,0,100,8.33333333333333,25,66.6666666666667
"E00021285",3,1,0,2,0,0,0,0,3,1,0,2,33.3333333333333,0,66.6666666666667,0,0,0,0,100,33.3333333333333,0,66.6666666666667
"E00021286",5,2,0,3,0,0,0,0,5,2,0,3,40,0,60,0,0,0,0,100,40,0,60
"E00021287",1,1,0,0,0,0,0,0,1,1,0,0,100,0,0,0,0,0,0,100,100,0,0
"E00021288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021289",24,8,4,12,1,0,0,1,23,8,4,11,33.3333333333333,16.6666666666667,50,4.16666666666667,0,0,4.16666666666667,95.8333333333333,33.3333333333333,16.6666666666667,45.8333333333333
"E00021290",23,5,4,14,2,0,0,2,21,5,4,12,21.7391304347826,17.3913043478261,60.8695652173913,8.69565217391304,0,0,8.69565217391304,91.304347826087,21.7391304347826,17.3913043478261,52.1739130434783
"E00021291",2,0,0,2,0,0,0,0,2,0,0,2,0,0,100,0,0,0,0,100,0,0,100
"E00021292",20,4,5,11,4,0,2,2,16,4,3,9,20,25,55,20,0,10,10,80,20,15,45
"E00021294",32,14,1,17,1,1,0,0,31,13,1,17,43.75,3.125,53.125,3.125,3.125,0,0,96.875,40.625,3.125,53.125
"E00021295",8,4,1,3,0,0,0,0,8,4,1,3,50,12.5,37.5,0,0,0,0,100,50,12.5,37.5
"E00021296",10,3,4,3,0,0,0,0,10,3,4,3,30,40,30,0,0,0,0,100,30,40,30
"E00021297",10,1,3,6,3,0,3,0,7,1,0,6,10,30,60,30,0,30,0,70,10,0,60
"E00021298",9,3,2,4,1,0,1,0,8,3,1,4,33.3333333333333,22.2222222222222,44.4444444444444,11.1111111111111,0,11.1111111111111,0,88.8888888888889,33.3333333333333,11.1111111111111,44.4444444444444
"E00021299",12,0,2,10,0,0,0,0,12,0,2,10,0,16.6666666666667,83.3333333333333,0,0,0,0,100,0,16.6666666666667,83.3333333333333
"E00021300",7,0,3,4,0,0,0,0,7,0,3,4,0,42.8571428571429,57.1428571428571,0,0,0,0,100,0,42.8571428571429,57.1428571428571
"E00021301",42,13,4,25,2,0,1,1,40,13,3,24,30.952380952381,9.52380952380952,59.5238095238095,4.76190476190476,0,2.38095238095238,2.38095238095238,95.2380952380952,30.952380952381,7.14285714285714,57.1428571428571
"E00021302",14,3,3,8,0,0,0,0,14,3,3,8,21.4285714285714,21.4285714285714,57.1428571428571,0,0,0,0,100,21.4285714285714,21.4285714285714,57.1428571428571
"E00021303",10,3,1,6,1,0,0,1,9,3,1,5,30,10,60,10,0,0,10,90,30,10,50
"E00021304",15,7,3,5,3,3,0,0,12,4,3,5,46.6666666666667,20,33.3333333333333,20,20,0,0,80,26.6666666666667,20,33.3333333333333
"E00021305",1,0,0,1,0,0,0,0,1,0,0,1,0,0,100,0,0,0,0,100,0,0,100
"E00021306",2,2,0,0,0,0,0,0,2,2,0,0,100,0,0,0,0,0,0,100,100,0,0
"E00021307",5,3,1,1,0,0,0,0,5,3,1,1,60,20,20,0,0,0,0,100,60,20,20
"E00021308",8,3,1,4,0,0,0,0,8,3,1,4,37.5,12.5,50,0,0,0,0,100,37.5,12.5,50
"E00021309",2,1,0,1,0,0,0,0,2,1,0,1,50,0,50,0,0,0,0,100,50,0,50
"E00021310",5,0,0,5,0,0,0,0,5,0,0,5,0,0,100,0,0,0,0,100,0,0,100
"E00021311",10,4,0,6,2,2,0,0,8,2,0,6,40,0,60,20,20,0,0,80,20,0,60
"E00021312",14,3,4,7,0,0,0,0,14,3,4,7,21.4285714285714,28.5714285714286,50,0,0,0,0,100,21.4285714285714,28.5714285714286,50
"E00021313",24,0,7,17,0,0,0,0,24,0,7,17,0,29.1666666666667,70.8333333333333,0,0,0,0,100,0,29.1666666666667,70.8333333333333
"E00021314",7,2,2,3,0,0,0,0,7,2,2,3,28.5714285714286,28.5714285714286,42.8571428571429,0,0,0,0,100,28.5714285714286,28.5714285714286,42.8571428571429
"E00021315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021316",8,2,2,4,0,0,0,0,8,2,2,4,25,25,50,0,0,0,0,100,25,25,50
"E00021317",6,3,2,1,0,0,0,0,6,3,2,1,50,33.3333333333333,16.6666666666667,0,0,0,0,100,50,33.3333333333333,16.6666666666667
"E00021318",9,4,0,5,0,0,0,0,9,4,0,5,44.4444444444444,0,55.5555555555556,0,0,0,0,100,44.4444444444444,0,55.5555555555556
"E00021319",20,4,3,13,6,0,0,6,14,4,3,7,20,15,65,30,0,0,30,70,20,15,35
"E00021320",14,6,1,7,1,1,0,0,13,5,1,7,42.8571428571429,7.14285714285714,50,7.14285714285714,7.14285714285714,0,0,92.8571428571429,35.7142857142857,7.14285714285714,50
"E00021321",8,1,2,5,0,0,0,0,8,1,2,5,12.5,25,62.5,0,0,0,0,100,12.5,25,62.5
"E00021322",10,5,0,5,3,0,0,3,7,5,0,2,50,0,50,30,0,0,30,70,50,0,20
"E00021323",19,2,2,15,0,0,0,0,19,2,2,15,10.5263157894737,10.5263157894737,78.9473684210526,0,0,0,0,100,10.5263157894737,10.5263157894737,78.9473684210526
"E00021324",10,0,4,6,1,0,1,0,9,0,3,6,0,40,60,10,0,10,0,90,0,30,60
"E00021325",14,5,4,5,3,1,1,1,11,4,3,4,35.7142857142857,28.5714285714286,35.7142857142857,21.4285714285714,7.14285714285714,7.14285714285714,7.14285714285714,78.5714285714286,28.5714285714286,21.4285714285714,28.5714285714286
"E00021326",24,8,3,13,1,0,1,0,23,8,2,13,33.3333333333333,12.5,54.1666666666667,4.16666666666667,0,4.16666666666667,0,95.8333333333333,33.3333333333333,8.33333333333333,54.1666666666667
"E00021327",9,3,2,4,1,1,0,0,8,2,2,4,33.3333333333333,22.2222222222222,44.4444444444444,11.1111111111111,11.1111111111111,0,0,88.8888888888889,22.2222222222222,22.2222222222222,44.4444444444444
"E00021328",27,10,5,12,2,0,2,0,25,10,3,12,37.037037037037,18.5185185185185,44.4444444444444,7.40740740740741,0,7.40740740740741,0,92.5925925925926,37.037037037037,11.1111111111111,44.4444444444444
"E00021329",10,2,0,8,1,0,0,1,9,2,0,7,20,0,80,10,0,0,10,90,20,0,70
"E00021330",8,2,0,6,1,1,0,0,7,1,0,6,25,0,75,12.5,12.5,0,0,87.5,12.5,0,75
"E00021331",6,0,2,4,0,0,0,0,6,0,2,4,0,33.3333333333333,66.6666666666667,0,0,0,0,100,0,33.3333333333333,66.6666666666667
"E00021332",15,6,0,9,0,0,0,0,15,6,0,9,40,0,60,0,0,0,0,100,40,0,60
"E00021333",9,2,1,6,0,0,0,0,9,2,1,6,22.2222222222222,11.1111111111111,66.6666666666667,0,0,0,0,100,22.2222222222222,11.1111111111111,66.6666666666667
"E00021334",18,7,2,9,2,1,0,1,16,6,2,8,38.8888888888889,11.1111111111111,50,11.1111111111111,5.55555555555556,0,5.55555555555556,88.8888888888889,33.3333333333333,11.1111111111111,44.4444444444444
"E00021335",21,4,3,14,3,0,1,2,18,4,2,12,19.047619047619,14.2857142857143,66.6666666666667,14.2857142857143,0,4.76190476190476,9.52380952380952,85.7142857142857,19.047619047619,9.52380952380952,57.1428571428571
