"GeographyCode","KS605EW0001","KS605EW0002","KS605EW0003","KS605EW0004","KS605EW0005","KS605EW0006","KS605EW0007","KS605EW0008","KS605EW0009","KS605EW0010","KS605EW0011","KS605EW0012","KS605EW0013","KS605EW0014","KS605EW0015","KS605EW0016","KS605EW0017","KS605EW0018","KS605EW0019","KS605EW0020","KS605EW0021","KS605EW0022","KS605EW0023","KS605EW0024","KS605EW0025","KS605EW0026","KS605EW0027","KS605EW0028","KS605EW0029","KS605EW0030","KS605EW0031","KS605EW0032","KS605EW0033","KS605EW0034","KS605EW0035","KS605EW0036","KS605EW0037"
"E00021200",126,0,0,2,0,0,2,20,10,24,4,5,1,9,10,2,7,16,14,0,0,1.58730158730159,0,0,1.58730158730159,15.8730158730159,7.93650793650794,19.047619047619,3.17460317460317,3.96825396825397,0.793650793650794,7.14285714285714,7.93650793650794,1.58730158730159,5.55555555555556,12.6984126984127,11.1111111111111
"E00021201",136,0,0,3,0,0,3,18,4,14,14,15,1,13,5,5,19,13,9,0,0,2.20588235294118,0,0,2.20588235294118,13.2352941176471,2.94117647058824,10.2941176470588,10.2941176470588,11.0294117647059,0.735294117647059,9.55882352941176,3.67647058823529,3.67647058823529,13.9705882352941,9.55882352941176,6.61764705882353
"E00021202",85,0,0,3,0,0,3,9,5,13,7,4,2,8,4,4,13,8,2,0,0,3.52941176470588,0,0,3.52941176470588,10.5882352941176,5.88235294117647,15.2941176470588,8.23529411764706,4.70588235294118,2.35294117647059,9.41176470588235,4.70588235294118,4.70588235294118,15.2941176470588,9.41176470588235,2.35294117647059
"E00021203",100,0,0,4,0,0,2,16,8,19,3,2,1,12,5,6,5,11,6,0,0,4,0,0,2,16,8,19,3,2,1,12,5,6,5,11,6
"E00021204",163,0,0,5,0,1,8,22,9,22,12,9,3,24,6,9,12,15,6,0,0,3.06748466257669,0,0.613496932515337,4.9079754601227,13.4969325153374,5.52147239263804,13.4969325153374,7.36196319018405,5.52147239263804,1.84049079754601,14.7239263803681,3.68098159509202,5.52147239263804,7.36196319018405,9.20245398773006,3.68098159509202
"E00021205",110,0,0,1,0,0,2,22,8,20,8,3,3,10,5,4,7,12,5,0,0,0.909090909090909,0,0,1.81818181818182,20,7.27272727272727,18.1818181818182,7.27272727272727,2.72727272727273,2.72727272727273,9.09090909090909,4.54545454545455,3.63636363636364,6.36363636363636,10.9090909090909,4.54545454545455
"E00021206",67,0,0,1,0,0,1,10,5,15,1,6,0,2,6,4,9,5,2,0,0,1.49253731343284,0,0,1.49253731343284,14.9253731343284,7.46268656716418,22.3880597014925,1.49253731343284,8.95522388059701,0,2.98507462686567,8.95522388059701,5.97014925373134,13.4328358208955,7.46268656716418,2.98507462686567
"E00021207",189,0,0,3,0,0,5,17,3,9,27,11,4,51,9,3,16,14,17,0,0,1.58730158730159,0,0,2.64550264550265,8.99470899470899,1.58730158730159,4.76190476190476,14.2857142857143,5.82010582010582,2.11640211640212,26.984126984127,4.76190476190476,1.58730158730159,8.46560846560847,7.40740740740741,8.99470899470899
"E00021208",100,0,0,1,0,1,4,21,8,13,2,4,2,6,4,4,10,14,6,0,0,1,0,1,4,21,8,13,2,4,2,6,4,4,10,14,6
"E00021209",96,0,0,6,0,0,4,21,5,14,4,4,3,3,8,3,8,13,0,0,0,6.25,0,0,4.16666666666667,21.875,5.20833333333333,14.5833333333333,4.16666666666667,4.16666666666667,3.125,3.125,8.33333333333333,3.125,8.33333333333333,13.5416666666667,0
