"GeographyCode","QS801EW0001","QS801EW0002","QS801EW0003","QS801EW0004","QS801EW0005","QS801EW0006","QS801EW0007","QS801EW0008","QS801EW0009","QS801EW0010","QS801EW0011","QS801EW0012","QS801EW0013"
"E00021318",303,202,0,1,4,4,3,10,15,12,15,24,13
"E00021319",330,223,0,1,5,6,8,22,16,9,11,19,10
"E00021320",322,259,0,0,3,2,7,10,14,4,11,9,3
"E00021321",302,204,0,0,3,6,6,9,21,6,17,25,5
"E00021322",315,178,0,0,5,6,12,19,21,17,27,25,5
"E00021323",374,195,0,2,9,8,2,23,23,28,31,40,13
"E00021324",380,278,1,1,8,11,6,5,11,10,19,18,12
"E00021325",413,277,1,1,7,8,13,26,18,13,11,29,9
"E00021326",433,245,1,1,3,6,10,35,30,14,29,38,21
"E00021327",397,316,0,1,6,5,5,6,18,12,13,11,4
"E00021328",434,230,0,0,5,5,5,25,42,23,33,39,27
"E00021329",398,230,0,2,2,8,16,29,42,22,26,11,10
"E00021330",334,184,0,0,5,17,10,38,24,23,17,13,3
"E00021331",200,106,0,0,4,0,7,17,24,14,13,9,6
"E00021332",491,301,0,1,3,4,22,47,57,10,13,24,9
"E00021333",351,218,0,3,2,8,7,29,30,24,12,9,9
"E00021334",377,229,0,2,8,6,14,23,34,21,17,15,8
"E00021335",564,337,0,0,10,11,23,52,58,24,22,21,6
"E00021336",300,191,0,1,2,4,9,28,29,19,6,10,1
"E00021337",339,216,0,0,3,10,13,38,30,10,5,9,5
"E00021338",452,251,0,0,3,4,27,40,34,32,17,35,9
"E00021339",331,214,0,0,2,5,4,11,19,12,28,24,12
"E00021340",383,177,0,3,3,5,12,25,19,27,31,50,31
"E00021342",342,205,1,0,3,5,8,37,46,13,14,9,1
"E00021344",534,294,0,2,8,11,19,68,44,25,19,36,8
"E00021345",348,193,0,1,1,2,16,26,22,19,30,28,10
"E00021346",341,195,0,0,2,2,7,43,44,22,11,13,2
"E00021347",408,239,0,0,2,2,6,46,39,30,5,31,8
"E00021349",399,222,0,0,4,4,21,45,42,13,14,23,11
"E00021350",354,218,0,1,5,3,12,33,25,9,24,15,9
"E00021351",381,203,0,0,2,7,12,39,40,22,26,22,8
"E00021352",284,179,0,0,2,6,12,27,33,11,4,8,2
"E00021353",308,162,0,1,6,6,9,26,26,15,25,24,8
"E00021354",463,288,0,1,5,11,19,57,45,3,11,16,7
"E00021355",300,177,0,0,2,2,6,8,22,15,24,25,19
"E00021357",412,217,0,0,3,12,27,51,37,15,20,22,8
"E00021359",369,212,0,1,2,4,10,34,31,19,17,30,9
"E00021360",450,214,0,1,2,6,12,56,45,21,39,35,19
"E00021361",371,223,0,0,4,5,7,29,27,31,20,21,4
"E00021363",389,243,0,0,0,4,1,37,23,22,44,11,4
"E00021364",570,340,0,0,2,9,26,40,50,30,14,39,20
"E00021365",282,180,0,0,2,3,6,13,16,18,10,24,10
"E00021366",371,220,1,1,0,6,10,34,38,25,14,16,6
"E00021367",318,206,2,0,6,3,6,18,24,12,10,16,15
"E00021368",399,237,0,0,0,7,11,33,54,17,15,19,6
"E00021369",232,159,0,0,1,4,8,28,11,13,4,4,0
"E00021370",616,377,0,1,2,11,15,61,64,22,28,27,8
