"GeographyCode","KS610EW0001","KS610EW0002","KS610EW0003","KS610EW0004","KS610EW0005","KS610EW0006","KS610EW0007","KS610EW0008","KS610EW0009","KS610EW0010","KS610EW0011","KS610EW0012","KS610EW0013","KS610EW0014","KS610EW0015","KS610EW0016","KS610EW0017","KS610EW0018","KS610EW0019"
"E01004287",347,19,80,39,59,6,41,50,2,51,5.47550432276657,23.0547550432277,11.2391930835735,17.0028818443804,1.72910662824208,11.8155619596542,14.4092219020173,0.576368876080692,14.6974063400576
"E01004288",220,12,55,27,32,0,47,24,5,18,5.45454545454545,25,12.2727272727273,14.5454545454545,0,21.3636363636364,10.9090909090909,2.27272727272727,8.18181818181818
"E01004289",302,23,58,53,52,6,54,31,1,24,7.6158940397351,19.205298013245,17.5496688741722,17.2185430463576,1.98675496688742,17.8807947019868,10.2649006622517,0.33112582781457,7.94701986754967
"E01004290",312,20,82,64,54,6,25,29,1,31,6.41025641025641,26.2820512820513,20.5128205128205,17.3076923076923,1.92307692307692,8.01282051282051,9.2948717948718,0.32051282051282,9.93589743589744
"E01004291",505,84,167,109,79,8,20,18,0,20,16.6336633663366,33.0693069306931,21.5841584158416,15.6435643564356,1.58415841584158,3.96039603960396,3.56435643564356,0,3.96039603960396
"E01004292",513,59,211,116,78,7,14,19,0,9,11.5009746588694,41.130604288499,22.6120857699805,15.2046783625731,1.364522417154,2.72904483430799,3.7037037037037,0,1.75438596491228
"E01004293",583,75,233,125,82,4,19,26,3,16,12.8644939965695,39.9656946826758,21.4408233276158,14.065180102916,0.686106346483705,3.2590051457976,4.45969125214408,0.514579759862779,2.74442538593482
"E01004294",436,48,128,123,54,6,27,28,8,14,11.0091743119266,29.3577981651376,28.2110091743119,12.3853211009174,1.37614678899083,6.19266055045872,6.42201834862385,1.8348623853211,3.21100917431193
"E01004295",188,13,39,35,32,1,24,19,0,25,6.91489361702128,20.7446808510638,18.6170212765957,17.0212765957447,0.531914893617021,12.7659574468085,10.1063829787234,0,13.2978723404255
"E01004296",329,32,100,56,52,7,30,27,3,22,9.72644376899696,30.3951367781155,17.0212765957447,15.8054711246201,2.12765957446809,9.11854103343465,8.20668693009119,0.911854103343465,6.68693009118541
"E01004297",560,81,190,127,72,5,29,30,2,24,14.4642857142857,33.9285714285714,22.6785714285714,12.8571428571429,0.892857142857143,5.17857142857143,5.35714285714286,0.357142857142857,4.28571428571429
"E01004298",269,13,65,53,45,3,25,35,3,27,4.83271375464684,24.1635687732342,19.7026022304833,16.728624535316,1.11524163568773,9.29368029739777,13.0111524163569,1.11524163568773,10.0371747211896
"E01004300",209,8,44,28,30,6,42,26,5,20,3.82775119617225,21.0526315789474,13.3971291866029,14.3540669856459,2.87081339712919,20.0956937799043,12.4401913875598,2.39234449760766,9.56937799043062
"E01004301",180,10,40,33,23,5,24,19,2,24,5.55555555555556,22.2222222222222,18.3333333333333,12.7777777777778,2.77777777777778,13.3333333333333,10.5555555555556,1.11111111111111,13.3333333333333
"E01004302",250,11,66,44,34,3,34,32,1,25,4.4,26.4,17.6,13.6,1.2,13.6,12.8,0.4,10
"E01004303",427,48,117,77,61,7,42,40,6,29,11.2412177985948,27.4004683840749,18.0327868852459,14.2857142857143,1.63934426229508,9.83606557377049,9.36768149882904,1.40515222482436,6.79156908665105
"E01004304",234,17,47,40,38,3,34,25,1,29,7.26495726495727,20.0854700854701,17.0940170940171,16.2393162393162,1.28205128205128,14.5299145299145,10.6837606837607,0.427350427350427,12.3931623931624
"E01004305",273,12,49,35,58,7,39,34,3,36,4.3956043956044,17.9487179487179,12.8205128205128,21.2454212454212,2.56410256410256,14.2857142857143,12.4542124542125,1.0989010989011,13.1868131868132
"E01004306",368,44,102,96,45,9,22,31,2,17,11.9565217391304,27.7173913043478,26.0869565217391,12.2282608695652,2.44565217391304,5.97826086956522,8.42391304347826,0.543478260869565,4.6195652173913
"E01004307",552,73,189,143,66,2,24,24,2,29,13.2246376811594,34.2391304347826,25.9057971014493,11.9565217391304,0.36231884057971,4.34782608695652,4.34782608695652,0.36231884057971,5.2536231884058
"E01004308",270,20,64,65,44,6,30,22,0,19,7.40740740740741,23.7037037037037,24.0740740740741,16.2962962962963,2.22222222222222,11.1111111111111,8.14814814814815,0,7.03703703703704
"E01004309",451,29,101,98,59,6,47,60,4,47,6.43015521064302,22.3946784922395,21.7294900221729,13.0820399113082,1.33037694013304,10.4212860310421,13.3037694013304,0.886917960088692,10.4212860310421
"E01004310",367,20,93,73,71,9,33,30,5,33,5.44959128065395,25.3405994550409,19.8910081743869,19.3460490463215,2.45231607629428,8.99182561307902,8.17438692098093,1.36239782016349,8.99182561307902
"E01004311",279,20,70,59,35,5,35,31,4,20,7.16845878136201,25.089605734767,21.1469534050179,12.5448028673835,1.7921146953405,12.5448028673835,11.1111111111111,1.4336917562724,7.16845878136201
"E01004312",247,10,56,39,49,5,33,30,2,23,4.04858299595142,22.6720647773279,15.7894736842105,19.8380566801619,2.02429149797571,13.3603238866397,12.1457489878543,0.809716599190283,9.31174089068826
"E01004313",427,30,118,101,58,5,44,32,2,37,7.02576112412178,27.6346604215457,23.6533957845433,13.5831381733021,1.17096018735363,10.3044496487119,7.49414519906323,0.468384074941452,8.66510538641686
"E01004314",315,47,106,99,21,5,14,13,1,9,14.9206349206349,33.6507936507937,31.4285714285714,6.66666666666667,1.58730158730159,4.44444444444444,4.12698412698413,0.317460317460317,2.85714285714286
"E01004315",393,29,110,91,38,9,53,32,0,31,7.37913486005089,27.9898218829517,23.1552162849873,9.66921119592875,2.29007633587786,13.4860050890585,8.14249363867684,0,7.88804071246819
"E01004316",239,11,64,71,28,3,18,26,4,14,4.60251046025105,26.7782426778243,29.7071129707113,11.7154811715481,1.25523012552301,7.53138075313808,10.8786610878661,1.67364016736402,5.85774058577406
"E01004317",716,77,238,194,95,12,23,50,1,26,10.7541899441341,33.2402234636872,27.0949720670391,13.268156424581,1.67597765363128,3.2122905027933,6.98324022346369,0.139664804469274,3.63128491620112
"E01004318",265,15,61,63,43,8,33,15,2,25,5.66037735849057,23.0188679245283,23.7735849056604,16.2264150943396,3.0188679245283,12.4528301886792,5.66037735849057,0.754716981132076,9.43396226415094
"E01004319",256,17,42,39,38,4,34,44,0,38,6.640625,16.40625,15.234375,14.84375,1.5625,13.28125,17.1875,0,14.84375
"E01004321",293,16,104,44,33,2,35,35,2,22,5.46075085324232,35.4948805460751,15.0170648464164,11.2627986348123,0.68259385665529,11.9453924914676,11.9453924914676,0.68259385665529,7.50853242320819
"E01004322",212,14,46,47,31,1,24,28,0,21,6.60377358490566,21.6981132075472,22.1698113207547,14.622641509434,0.471698113207547,11.3207547169811,13.2075471698113,0,9.90566037735849
"E01004323",285,17,68,62,46,6,34,19,3,30,5.96491228070175,23.859649122807,21.7543859649123,16.140350877193,2.10526315789474,11.9298245614035,6.66666666666667,1.05263157894737,10.5263157894737
"E01004324",218,14,45,32,38,0,28,29,5,27,6.42201834862385,20.6422018348624,14.6788990825688,17.4311926605505,0,12.8440366972477,13.302752293578,2.29357798165138,12.3853211009174
