"GeographyCode","QS112EW0001","QS112EW0002","QS112EW0003","QS112EW0004","QS112EW0005","QS112EW0006","QS112EW0007","QS112EW0008","QS112EW0009","QS112EW0010","QS112EW0011","QS112EW0012","QS112EW0013","QS112EW0014","QS112EW0015","QS112EW0016","QS112EW0017","QS112EW0018","QS112EW0019","QS112EW0020","QS112EW0021","QS112EW0022","QS112EW0023","QS112EW0024","QS112EW0025","QS112EW0026","QS112EW0027","QS112EW0028","QS112EW0029","QS112EW0030","QS112EW0031"
"E00021296",341,52,8,44,206,8,96,34,6,33,23,4,4,0,0,0,69,48,3,18,0,29,6,21,2,83,0,0,20,2,61
"E00021297",415,42,11,31,247,4,135,18,19,83,15,2,2,0,0,0,73,42,18,13,0,33,17,10,6,126,16,5,7,2,96
"E00021298",417,54,9,45,226,2,118,28,22,34,34,5,2,0,0,3,65,40,9,13,3,36,12,17,7,137,6,6,17,0,108
"E00021299",438,40,7,33,234,2,151,32,26,73,20,0,0,0,0,0,40,40,0,0,0,41,14,19,8,164,0,10,26,0,128
"E00021300",488,45,9,36,222,6,147,36,24,75,12,8,8,0,0,0,32,20,3,9,0,29,8,9,12,221,5,13,49,0,154
"E00021301",522,37,10,27,386,6,208,10,9,177,12,0,0,0,0,0,18,2,0,16,0,154,59,58,37,99,20,31,3,0,45
"E00021302",463,63,9,54,232,4,120,24,16,69,11,6,6,0,0,0,51,30,9,12,0,51,14,24,13,168,13,17,18,0,120
"E00021303",349,47,13,34,184,4,114,14,39,54,7,0,0,0,0,0,25,14,6,5,0,41,13,16,12,118,19,47,18,0,34
"E00021304",351,27,8,19,195,10,111,6,9,76,20,0,0,0,0,0,16,10,6,0,0,58,31,8,19,129,15,0,10,0,104
"E00021305",255,31,7,24,145,8,87,16,24,43,4,0,0,0,0,0,35,20,3,12,0,15,0,7,8,79,2,14,8,0,55
"E00021306",264,50,11,39,145,6,88,30,12,35,11,2,2,0,0,0,37,24,6,4,3,12,4,0,8,69,0,16,7,3,43
"E00021307",456,59,6,53,157,0,76,22,13,28,13,2,2,0,0,0,59,46,9,4,0,20,6,6,8,240,14,5,30,0,191
"E00021308",432,24,4,20,196,8,119,16,16,70,17,0,0,0,0,0,36,18,3,12,3,33,15,6,12,212,14,51,20,4,123
"E00021309",189,40,1,39,98,2,40,20,15,5,0,0,0,0,0,0,51,44,3,4,0,5,2,3,0,51,0,0,0,0,51
"E00021310",259,34,17,17,151,10,82,16,12,38,16,0,0,0,0,0,11,2,6,0,3,48,2,20,26,74,4,0,11,0,59
"E00021311",335,37,11,26,201,6,118,8,21,78,11,0,0,0,0,0,36,8,9,16,3,41,8,21,12,97,21,29,4,0,43
"E00021312",316,36,5,31,194,8,116,16,7,71,22,2,2,0,0,0,15,4,0,8,3,53,13,30,10,86,0,10,3,0,73
"E00021313",484,57,9,48,251,4,81,28,18,22,13,0,0,0,0,0,69,46,3,17,3,97,34,41,22,176,7,18,25,0,126
"E00021314",370,44,13,31,212,2,149,20,27,80,22,4,4,0,0,0,36,22,6,8,0,21,12,9,0,114,8,5,14,2,85
"E00021315",138,92,48,44,36,12,20,12,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,10,0,0,0,0,10
"E00021316",322,26,14,12,145,8,85,2,15,64,4,0,0,0,0,0,12,4,8,0,0,40,10,16,14,151,16,40,0,4,91
"E00021317",328,23,9,14,227,10,103,22,9,62,10,2,2,0,0,0,78,38,6,30,4,34,5,14,15,78,4,11,10,0,53
"E00021318",303,57,14,43,141,4,65,16,10,33,6,0,0,0,0,0,42,28,6,8,0,30,14,8,8,105,2,5,15,2,81
"E00021319",330,43,17,26,178,6,81,6,18,42,15,0,0,0,0,0,23,20,3,0,0,68,23,34,11,109,12,5,0,0,92
"E00021320",317,32,8,24,196,8,82,16,7,39,20,2,2,0,0,0,50,12,19,16,3,54,14,34,6,89,0,27,7,0,55
"E00021321",302,28,6,22,193,2,97,12,10,32,43,4,4,0,0,0,50,40,6,0,4,40,11,20,9,81,16,20,14,0,31
"E00021322",315,36,11,25,195,6,124,14,15,71,24,0,0,0,0,0,19,4,3,12,0,46,13,15,18,84,22,12,4,0,46
"E00021323",374,55,31,24,168,10,70,6,9,51,4,0,0,0,0,0,11,0,3,8,0,77,14,45,18,151,20,47,5,0,79
"E00021324",380,50,27,23,195,14,104,26,21,34,23,0,0,0,0,0,44,26,15,0,3,33,18,3,12,135,7,5,14,2,107
"E00021325",413,46,9,37,267,10,149,8,58,77,6,3,0,3,0,0,48,16,6,19,7,57,19,22,16,100,7,26,8,0,59
"E00021326",433,26,10,16,297,4,168,8,16,128,16,0,0,0,0,0,26,8,3,15,0,99,28,41,30,110,18,33,23,0,36
"E00021327",397,61,14,47,228,6,124,34,12,51,27,2,2,0,0,0,51,34,9,0,8,45,13,16,16,108,7,18,4,0,79
"E00021328",434,17,6,11,260,6,158,12,11,109,26,0,0,0,0,0,6,2,0,0,4,90,40,42,8,157,27,27,20,0,83
"E00021329",398,97,19,78,202,8,126,22,25,66,13,0,0,0,0,0,17,8,9,0,0,51,15,17,19,99,12,26,20,0,41
"E00021330",334,43,5,38,169,2,114,16,13,65,20,0,0,0,0,0,13,10,3,0,0,40,8,16,16,122,10,60,10,0,42
"E00021331",200,37,8,29,118,2,85,16,12,57,0,0,0,0,0,0,12,8,0,4,0,19,6,10,3,45,0,6,11,0,28
"E00021332",491,29,11,18,337,6,242,10,27,186,19,0,0,0,0,0,22,2,0,20,0,67,20,26,21,125,13,67,9,0,36
"E00021333",351,40,8,32,234,8,140,14,29,94,3,2,2,0,0,0,37,6,6,25,0,47,6,23,18,77,7,36,0,2,32
"E00021334",377,55,18,37,234,12,130,28,20,59,23,0,0,0,0,0,26,8,0,8,10,66,23,29,14,88,14,38,0,0,36
"E00021335",564,43,9,34,321,8,169,4,26,106,33,0,0,0,0,0,30,6,0,17,7,114,28,41,45,200,30,92,18,2,58
"E00021336",300,13,3,10,212,8,110,2,12,90,6,0,0,0,0,0,8,2,0,6,0,86,17,44,25,75,27,31,0,0,17
"E00021337",339,10,0,10,203,2,137,8,32,87,10,4,4,0,0,0,15,2,0,4,9,45,21,13,11,126,35,49,4,0,38
"E00021338",452,29,3,26,287,0,206,6,21,169,10,4,4,0,0,0,11,2,3,6,0,66,26,30,10,136,35,46,14,0,41
"E00021339",331,31,3,28,190,4,113,8,12,75,18,2,2,0,0,0,22,6,9,7,0,49,16,9,24,110,4,0,14,0,92
"E00021340",383,103,9,94,182,2,91,24,41,26,0,0,0,0,0,0,38,32,6,0,0,51,20,13,18,98,5,9,21,2,61
"E00021342",342,23,4,19,233,2,165,2,25,129,9,0,0,0,0,0,17,4,3,5,5,49,8,39,2,86,0,51,4,2,29
"E00021344",534,34,18,16,358,6,250,4,35,174,37,0,0,0,0,0,8,2,6,0,0,94,20,46,28,142,41,50,7,0,44
"E00021345",348,23,1,22,233,0,142,2,21,116,3,0,0,0,0,0,26,12,6,8,0,65,22,24,19,92,14,39,2,0,37
