"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E00021357",284,132,112,20,0,152,86,22,11,13,20
"E00021359",246,122,94,20,8,124,74,17,8,13,12
"E00021360",309,140,124,16,0,169,108,23,11,13,14
"E00021361",242,94,64,30,0,148,101,10,14,16,7
"E00021363",269,110,94,14,2,159,106,14,9,15,15
"E00021364",419,170,146,22,2,249,182,22,11,14,20
"E00021365",229,82,48,24,10,147,97,15,11,13,11
"E00021366",261,100,90,6,4,161,93,12,8,27,21
"E00021367",243,82,68,10,4,161,91,10,15,14,31
"E00021368",298,122,90,28,4,176,121,13,13,14,15
"E00021369",144,66,52,10,4,78,53,5,8,6,6
"E00021370",416,174,160,14,0,242,177,12,17,24,12
"E00021371",121,50,46,4,0,71,55,4,5,4,3
"E00021372",285,116,92,22,2,169,122,7,11,20,9
"E00021374",293,134,120,14,0,159,107,8,7,19,18
"E00021375",266,98,86,8,4,168,113,9,6,17,23
"E00021376",270,110,100,6,4,160,100,12,13,21,14
"E00021377",411,162,112,44,6,249,186,14,12,19,18
"E00021378",338,112,92,20,0,226,154,19,19,20,14
"E00021379",230,84,72,8,4,146,86,11,11,23,15
"E00021380",191,54,40,10,4,137,100,5,9,17,6
"E00021381",272,110,74,26,10,162,113,10,18,11,10
"E00021382",244,132,120,10,2,112,74,5,10,12,11
"E00021383",380,128,118,8,2,252,156,13,16,32,35
"E00021384",199,100,38,50,12,99,81,1,3,12,2
"E00021385",341,134,104,28,2,207,162,10,8,14,13
"E00021386",254,109,84,19,6,145,87,14,11,24,9
"E00021387",502,214,164,42,8,288,213,18,10,25,22
"E00021388",248,88,66,22,0,160,106,11,8,21,14
"E00021391",328,144,114,30,0,184,120,12,22,21,9
"E00021392",296,138,98,30,10,158,122,7,7,14,8
"E00021393",300,116,102,12,2,184,118,11,12,16,27
"E00021394",250,104,82,16,6,146,102,7,6,20,11
"E00021395",221,108,80,18,10,113,73,8,5,15,12
"E00021396",259,90,64,22,4,169,104,10,11,28,16
"E00021397",365,158,136,20,2,207,147,10,10,22,18
"E00021398",362,150,126,22,2,212,144,14,15,20,19
"E00021399",318,162,110,42,10,156,116,14,2,9,15
"E00021400",280,122,88,30,4,158,117,12,12,10,7
"E00021402",226,88,66,22,0,138,88,10,7,19,14
"E00021404",237,118,52,62,4,119,97,10,2,7,3
"E00021405",340,124,92,26,6,216,147,22,7,17,23
"E00021406",272,110,92,18,0,162,112,4,9,24,13
"E00021407",341,124,100,24,0,217,148,19,15,21,14
"E00021408",305,124,62,50,12,181,158,10,4,5,4
"E00021409",244,130,76,42,12,114,82,18,3,11,0
"E00021410",254,96,66,24,6,158,119,9,8,14,8
"E00021411",317,144,110,24,10,173,123,7,13,13,17
"E00021412",286,140,110,28,2,146,98,8,12,15,13
"E00021413",282,126,110,16,0,156,109,12,18,8,9
"E00021414",276,130,114,14,2,146,93,17,9,10,17
"E00021415",263,104,84,18,2,159,114,13,8,17,7
"E00021416",283,114,82,28,4,169,122,8,7,16,16
"E00021417",232,102,68,30,4,130,93,4,8,17,8
"E00021418",192,106,52,44,10,86,68,5,1,10,2
"E00021419",283,140,128,10,2,143,99,7,11,16,10
"E00021420",232,122,90,22,10,110,81,6,6,13,4
"E00021421",361,123,94,20,9,238,160,30,13,24,11
"E00021422",146,56,44,10,2,90,57,5,7,11,10
"E00021423",302,136,120,12,4,166,115,9,11,18,13
"E00021424",198,92,56,28,8,106,81,14,2,7,2
"E00021425",211,112,64,44,4,99,68,16,4,8,3
"E00021426",235,106,84,12,10,129,83,6,13,15,12
"E00021427",206,118,58,46,14,88,65,8,4,9,2
"E00021428",273,132,86,42,4,141,105,8,11,11,6
"E00021429",102,34,24,8,2,68,58,2,2,2,4
"E00021430",216,100,80,16,4,116,64,12,9,20,11
"E00021431",258,108,88,16,4,150,95,6,8,20,21
"E00021432",281,108,90,16,2,173,96,18,8,25,26
"E00021433",509,182,144,30,8,327,261,16,17,19,14
"E00021434",318,126,108,10,8,192,134,17,8,11,22
"E00021437",240,102,78,22,2,138,95,6,5,17,15
"E00021438",174,58,42,12,4,116,71,2,4,24,15
"E00021439",180,58,46,12,0,122,75,12,11,16,8
"E00021440",330,140,122,14,4,190,134,17,7,7,25
"E00021441",274,130,76,48,6,144,106,3,6,16,13
"E00021442",264,114,94,18,2,150,106,6,5,16,17
"E00021443",211,76,54,22,0,135,93,2,5,19,16
"E00021444",276,82,54,24,4,194,150,10,7,8,19
"E00021445",297,118,106,8,4,179,127,13,6,11,22
"E00021446",306,143,138,5,0,163,118,7,9,16,13
"E00021447",238,106,50,52,4,132,117,3,3,6,3
"E00021448",247,112,88,18,6,135,95,6,8,18,8
"E00021449",281,90,56,26,8,191,149,4,6,19,13
"E00021450",163,66,50,10,6,97,76,0,4,9,8
"E00021451",280,126,100,20,6,154,102,10,11,19,12
"E00021452",177,60,36,20,4,117,85,7,8,9,8
"E00021453",274,76,62,10,4,198,148,6,7,18,19
"E00021454",265,98,68,28,2,167,126,4,14,9,14
"E00021455",247,88,72,14,2,159,104,8,14,14,19
"E00021458",247,94,46,46,2,153,121,8,4,17,3
"E00021459",231,90,24,62,4,141,115,4,5,13,4
"E00021460",321,112,54,50,8,209,171,10,7,13,8
"E00021461",207,76,38,34,4,131,101,3,2,15,10
"E00021462",249,78,54,22,2,171,122,9,11,14,15
"E00021463",283,102,74,24,4,181,133,9,7,16,16
"E00021464",222,66,38,26,2,156,122,7,9,14,4
"E00021465",308,118,94,18,6,190,135,13,9,16,17
"E00021466",313,96,84,12,0,217,175,14,6,7,15
"E00021467",275,94,84,10,0,181,137,13,4,14,13
"E00021468",214,64,42,20,2,150,114,7,7,11,11
"E00021469",331,100,80,16,4,231,179,12,14,14,12
"E00021470",235,76,60,12,4,159,112,7,11,12,17
"E00021471",274,102,76,18,8,172,121,11,11,17,12
"E00021473",214,92,68,22,2,122,83,10,10,9,10
"E00021474",308,118,90,28,0,190,127,12,13,15,23
"E00021475",308,98,88,6,4,210,156,19,8,14,13
"E00021476",307,78,70,8,0,229,167,7,21,15,19
"E00021477",381,142,84,50,8,239,198,14,5,16,6
"E00021478",259,108,66,36,6,151,119,5,8,11,8
"E00021479",372,96,50,36,10,276,248,13,4,8,3
"E00021480",248,102,64,36,2,146,123,10,4,6,3
"E00021481",332,98,76,20,2,234,198,12,4,11,9
"E00021482",385,112,80,24,8,273,237,12,3,8,13
"E00021483",511,196,104,66,26,315,257,16,20,16,6
"E00021484",317,94,54,32,8,223,204,10,1,3,5
"E00021485",233,104,86,10,8,129,84,6,13,20,6
"E00021486",290,118,94,18,6,172,124,14,10,13,11
"E00021487",147,70,54,16,0,77,52,3,6,8,8
"E00021488",328,142,108,26,8,186,136,14,4,19,13
"E00021489",236,88,76,8,4,148,92,14,16,15,11
"E00021490",192,96,86,10,0,96,51,8,6,20,11
"E00021491",199,76,66,8,2,123,84,14,6,7,12
"E00021492",268,126,114,10,2,142,92,12,15,13,10
"E00021493",308,143,130,13,0,165,111,14,8,18,14
"E00021494",427,164,138,20,6,263,194,17,11,20,21
"E00021495",442,180,144,30,6,262,195,31,8,11,17
"E00021496",224,114,104,8,2,110,71,7,12,10,10
"E00021497",340,148,130,18,0,192,124,20,15,16,17
"E00021498",268,120,110,10,0,148,100,15,7,14,12
"E00021499",264,90,38,34,18,174,155,3,4,9,3
"E00021500",278,94,54,40,0,184,147,7,5,20,5
"E00021501",235,78,62,16,0,157,118,6,6,17,10
"E00021502",271,88,80,6,2,183,127,13,5,23,15
"E00021503",251,130,108,14,8,121,75,9,11,17,9
"E00021504",286,138,102,34,2,148,103,9,9,16,11
"E00021505",222,82,72,6,4,140,105,8,2,14,11
"E00021506",246,102,80,18,4,144,102,10,11,14,7
"E00021507",322,106,68,32,6,216,167,12,12,12,13
"E00021508",282,98,70,22,6,184,135,14,1,15,19
"E00021509",396,118,96,20,2,278,200,20,12,19,27
"E00021510",204,132,102,22,8,72,55,8,3,3,3
"E00021511",181,118,96,16,6,63,45,6,2,10,0
"E00021516",219,96,72,20,4,123,102,2,3,11,5
"E00021517",259,98,54,42,2,161,134,3,8,12,4
"E00021518",291,134,100,30,4,157,121,8,4,16,8
"E00021519",405,222,140,72,10,183,138,14,10,12,9
"E00021520",185,96,66,26,4,89,68,6,3,11,1
"E00021521",202,104,74,26,4,98,69,4,4,11,10
"E00021522",351,124,106,16,2,227,153,20,13,21,20
"E00021524",465,162,134,22,6,303,238,16,13,26,10
"E00021525",265,112,86,24,2,153,128,7,3,12,3
"E00021526",310,140,82,48,10,170,140,8,4,14,4
"E00021527",267,136,76,44,16,131,111,6,5,9,0
"E00021528",194,100,74,24,2,94,69,4,6,5,10
"E00021529",159,54,38,10,6,105,49,6,7,20,23
"E00021531",437,186,158,24,4,251,179,25,12,17,18
"E00021532",273,126,92,28,6,147,123,13,2,8,1
"E00021533",230,132,76,46,10,98,77,6,5,10,0
"E00021534",214,118,58,58,2,96,76,9,2,5,4
"E00021535",243,98,64,30,4,145,110,9,8,12,6
"E00021536",247,128,88,40,0,119,99,5,4,9,2
"E00021537",308,144,92,36,16,164,135,13,5,7,4
"E00021538",612,300,200,92,8,312,263,13,6,26,4
"E00021539",240,134,90,40,4,106,84,8,4,10,0
"E00021541",217,88,58,26,4,129,116,6,3,3,1
"E00021542",188,132,114,14,4,56,37,10,2,6,1
"E00021543",255,122,78,42,2,133,117,5,5,4,2
"E00021544",158,106,76,20,10,52,38,3,2,7,2
"E00021546",172,106,68,32,6,66,47,6,1,12,0
"E00021547",222,86,60,20,6,136,83,14,6,21,12
"E00021549",303,146,102,38,6,157,108,4,9,21,15
"E00021550",293,114,88,22,4,179,127,11,14,12,15
"E00021552",193,74,60,8,6,119,82,5,8,15,9
"E00021553",255,104,94,8,2,151,97,2,13,20,19
"E00021554",221,106,68,34,4,115,86,8,7,11,3
"E00021555",320,136,96,30,10,184,142,11,13,12,6
"E00021556",258,130,74,52,4,128,113,8,2,5,0
"E00021557",297,164,110,50,4,133,104,9,6,10,4
"E00021559",291,138,98,20,20,153,105,4,8,20,16
"E00021560",333,130,92,34,4,203,140,15,6,23,19
"E00021561",265,96,52,40,4,169,142,6,4,15,2
"E00021562",306,120,68,42,10,186,137,16,10,14,9
"E00021563",300,132,104,22,6,168,130,11,4,12,11
"E00021564",254,92,72,18,2,162,91,18,8,16,29
"E00021565",154,54,48,6,0,100,76,2,4,7,11
"E00021566",396,98,72,20,6,298,265,14,7,8,4
"E00021567",290,112,66,36,10,178,139,7,2,15,15
"E00021569",260,100,56,42,2,160,129,7,9,8,7
"E00021572",283,106,84,22,0,177,147,9,2,13,6
"E00021574",224,90,64,24,2,134,112,6,2,4,10
"E00021577",220,90,62,22,6,130,83,7,12,17,11
"E00021579",239,120,100,20,0,119,86,11,5,9,8
"E00021580",298,120,106,14,0,178,125,15,10,12,16
"E00021582",299,130,116,12,2,169,113,21,7,12,16
"E00021583",304,120,102,14,4,184,129,13,11,15,16
"E00021584",238,94,68,22,4,144,104,6,10,9,15
"E00021585",424,182,156,24,2,242,177,13,15,18,19
"E00021586",323,170,138,26,6,153,112,9,7,9,16
"E00021587",291,112,98,10,4,179,119,19,7,15,19
"E00021588",241,94,80,12,2,147,75,15,15,24,18
"E00021590",286,112,98,10,4,174,106,16,13,15,24
"E00021591",261,130,118,8,4,131,80,19,14,9,9
"E00021592",251,112,84,18,10,139,101,3,12,11,12
"E00021593",200,64,54,6,4,136,65,15,5,24,27
"E00021594",272,90,86,4,0,182,127,5,15,15,20
"E00021595",294,86,68,14,4,208,154,12,7,19,16
"E00021596",326,128,82,36,10,198,136,10,8,16,28
"E00021597",278,128,94,28,6,150,110,5,9,10,16
"E00021598",240,86,60,22,4,154,132,8,3,6,5
