"GeographyCode","QS113EW0001","QS113EW0002","QS113EW0003","QS113EW0004","QS113EW0005","QS113EW0006","QS113EW0007","QS113EW0008","QS113EW0009","QS113EW0010","QS113EW0011","QS113EW0012","QS113EW0013","QS113EW0014","QS113EW0015","QS113EW0016","QS113EW0017","QS113EW0018","QS113EW0019","QS113EW0020","QS113EW0021","QS113EW0022","QS113EW0023","QS113EW0024","QS113EW0025","QS113EW0026","QS113EW0027","QS113EW0028","QS113EW0029","QS113EW0030","QS113EW0031"
"E01004212",720,318,41,277,261,8,133,40,18,63,12,1,1,0,0,0,62,57,2,2,1,57,24,19,14,141,9,16,24,3,89
"E01004214",665,252,56,196,334,9,162,35,27,81,19,1,1,0,0,0,32,13,4,11,4,130,45,52,33,79,22,16,2,1,38
"E01004215",1168,408,62,346,541,17,252,100,41,82,29,4,4,0,0,0,112,91,7,10,4,156,59,50,47,219,18,26,16,1,158
"E01004216",737,235,52,183,328,8,176,68,49,46,13,5,4,0,0,1,73,60,9,4,0,66,25,21,20,174,8,9,20,2,135
"E01004217",779,303,77,226,368,18,199,69,38,54,38,4,4,0,0,0,58,38,7,11,2,89,37,21,31,108,17,9,12,1,69
"E01004218",731,215,40,175,364,14,211,87,51,58,15,4,3,1,0,0,75,60,11,4,0,60,25,16,19,152,16,10,11,1,114
"E01004219",851,258,24,234,422,4,222,60,45,97,20,6,6,0,0,0,75,61,7,7,0,115,46,37,32,171,25,23,7,1,115
"E01004221",802,250,22,228,373,5,183,90,30,49,14,3,2,0,0,1,106,89,2,13,2,76,24,29,23,179,11,19,12,0,137
"E01004222",1048,402,143,259,452,25,188,46,40,76,26,5,5,0,0,0,77,54,7,13,3,157,58,50,49,194,28,27,11,8,120
"E01004223",938,355,125,230,442,26,163,58,30,55,20,1,1,0,0,0,79,53,10,10,6,173,80,39,54,141,14,20,5,1,101
"E01004224",806,250,67,183,353,21,147,48,24,53,22,3,3,0,0,0,78,55,8,11,4,104,39,28,37,203,10,21,14,3,155
"E01004225",1147,436,23,413,475,11,178,108,37,26,7,10,9,0,0,1,224,209,11,3,1,52,26,15,11,236,8,9,22,1,196
"E01004226",676,203,44,159,348,16,153,38,27,63,25,0,0,0,0,0,63,45,3,14,1,116,52,32,32,125,15,16,17,0,77
"E01004228",769,246,56,190,363,12,162,56,22,53,31,5,4,0,0,1,113,78,19,12,4,71,31,20,20,160,8,13,13,2,124
"E01004229",551,163,41,122,274,8,140,42,26,57,15,1,1,0,0,0,54,43,5,5,1,71,28,20,23,114,6,15,20,1,72
"E01004230",803,230,78,152,398,24,176,36,38,66,36,3,2,1,0,0,81,58,13,6,4,114,52,25,37,175,18,11,15,1,130
"E01004231",629,172,56,116,314,13,131,26,13,78,14,3,3,0,0,0,30,17,4,8,1,137,59,44,34,143,17,17,15,0,94
"E01004232",603,159,26,133,248,11,125,45,24,44,12,5,5,0,0,0,68,52,6,9,1,39,13,8,18,196,9,11,29,2,145
"E01004233",751,306,102,204,299,19,132,32,25,61,14,0,0,0,0,0,59,38,11,7,3,89,23,35,31,146,13,27,5,3,98
"E01004234",903,251,47,204,456,19,205,73,29,71,32,7,7,0,0,0,128,98,7,20,3,97,35,34,28,196,6,9,25,2,154
"E01004235",513,172,38,134,266,7,145,26,27,81,11,3,2,1,0,0,29,20,7,2,0,82,49,21,12,75,12,14,9,3,37
"E01004236",497,116,35,81,272,5,154,21,23,95,15,0,0,0,0,0,33,19,6,6,2,80,28,31,21,109,23,24,7,0,55
"E01004237",506,200,38,162,229,7,104,39,24,35,6,1,1,0,0,0,53,39,4,9,1,64,24,30,10,77,3,11,9,1,53
"E01004238",1058,345,26,319,484,5,249,61,64,109,15,6,6,0,0,0,86,66,15,4,1,138,54,43,41,229,29,37,32,3,128
"E01004239",533,139,35,104,283,16,143,26,23,72,22,4,4,0,0,0,28,11,2,8,7,92,29,28,35,111,20,33,10,1,47
"E01004240",574,136,29,107,324,14,171,18,28,107,18,2,2,0,0,0,28,10,6,11,1,109,31,38,40,114,11,30,9,2,62
"E01004241",570,185,45,140,286,8,152,17,29,93,13,1,1,0,0,0,24,12,9,3,0,101,32,29,40,99,15,24,15,0,45
"E01004242",898,264,18,246,411,5,232,50,44,123,15,0,0,0,0,0,55,44,6,4,1,119,35,51,33,223,13,43,26,0,141
"E01004243",614,168,36,132,328,12,158,26,16,92,24,2,2,0,0,0,36,16,10,8,2,120,44,33,43,118,13,30,6,2,67
"E01004244",686,257,74,183,318,17,151,29,22,88,12,1,1,0,0,0,28,18,3,5,2,121,44,39,38,111,13,29,7,4,58
"E01004245",433,92,13,79,263,2,149,13,21,101,14,0,0,0,0,0,24,6,10,7,1,88,33,35,20,78,15,37,3,2,21
"E01004246",747,236,49,187,363,9,190,48,22,84,36,4,4,0,0,0,72,52,7,10,3,88,38,21,29,148,21,22,10,4,91
"E01004247",714,230,62,168,344,13,177,37,30,84,26,1,1,0,0,0,33,16,6,8,3,120,44,41,35,140,18,30,14,0,78
"E01004248",441,134,58,76,244,5,118,16,13,73,16,0,0,0,0,0,24,10,4,6,4,97,38,40,19,63,8,28,2,2,23
"E01004249",758,261,52,209,385,7,174,36,29,95,14,0,0,0,0,0,65,38,10,11,6,139,43,54,42,112,18,27,3,0,64
"E01004250",866,269,72,197,468,14,209,31,37,114,27,2,2,0,0,0,73,40,11,16,6,170,75,47,48,129,22,26,7,2,72
"E01004251",779,262,86,176,354,13,189,40,33,92,24,2,2,0,0,0,41,23,7,7,4,109,48,26,35,163,25,26,6,4,102
"E01004252",1107,389,48,341,499,11,236,70,51,96,19,3,3,0,0,0,110,80,20,8,2,139,57,49,33,219,22,36,8,3,150
"E01004253",829,244,77,167,436,15,195,27,32,106,30,0,0,0,0,0,54,24,14,11,5,172,68,57,47,149,21,32,5,3,88
"E01004254",1046,357,13,344,446,5,222,129,52,34,7,8,8,0,0,0,174,158,12,4,0,37,12,14,11,243,8,9,12,0,214
"E01004255",647,250,19,231,270,5,147,37,32,65,13,1,1,0,0,0,47,34,7,3,3,70,28,15,27,127,18,24,8,0,77
"E01004256",611,170,49,121,306,14,152,33,23,77,19,0,0,0,0,0,35,15,9,7,4,105,51,24,30,135,22,26,7,3,77
"E01004257",618,145,35,110,352,8,176,31,26,102,17,1,1,0,0,0,37,14,6,15,2,130,57,48,25,121,21,21,7,3,69
"E01004258",713,273,44,229,337,16,182,78,34,50,20,8,8,0,0,0,90,75,9,6,0,41,15,11,15,103,6,11,5,2,79
"E01004259",812,334,48,286,285,6,96,28,20,37,11,1,1,0,0,0,110,97,4,7,2,72,39,16,17,193,10,10,17,2,154
"E01004260",636,168,52,116,305,16,147,15,25,91,16,5,5,0,0,0,52,35,11,4,2,85,36,24,25,163,11,18,7,0,127
"E01004261",550,175,35,140,189,5,109,19,14,63,13,0,0,0,0,0,21,14,3,4,0,54,14,15,25,186,12,29,103,1,41
"E01004262",495,170,46,124,183,8,108,27,18,46,17,1,1,0,0,0,23,14,6,2,1,43,12,12,19,142,16,16,49,0,61
"E01004263",529,165,64,101,254,14,119,22,14,62,21,1,1,0,0,0,33,22,6,3,2,87,33,28,26,110,15,12,14,0,69
"E01004264",457,96,42,54,237,6,136,16,23,83,14,0,0,0,0,0,18,8,6,2,2,77,23,19,35,124,11,26,20,1,66
"E01004266",583,176,54,122,272,15,116,20,20,50,26,3,2,1,0,0,59,36,8,9,6,79,27,19,33,135,15,19,4,1,96
"E01004267",707,246,21,225,284,5,128,41,21,52,14,2,2,0,0,0,78,66,5,6,1,71,23,27,21,177,8,22,15,0,132
"E01004268",688,248,52,196,317,6,168,33,24,99,12,0,0,0,0,0,51,41,4,6,0,92,30,24,38,123,11,22,14,0,76
"E01004269",726,249,80,169,285,15,142,22,27,82,11,1,1,0,0,0,45,30,4,8,3,82,36,16,30,192,18,20,30,2,122
"E01004270",745,155,26,129,288,7,134,39,18,67,10,9,7,2,0,0,72,51,10,10,1,66,22,26,18,302,14,16,54,0,218
"E01004271",548,158,35,123,279,6,155,23,23,101,8,1,0,1,0,0,26,11,3,11,1,91,31,31,29,111,19,19,14,1,58
"E01004272",639,166,33,133,353,7,206,27,32,135,12,0,0,0,0,0,34,16,4,13,1,106,43,34,29,120,18,40,5,1,56
"E01004273",594,150,30,120,348,3,198,22,41,110,25,2,2,0,0,0,33,24,4,1,4,112,42,35,35,96,16,27,6,0,47
"E01004274",654,159,16,143,333,3,186,56,32,76,22,2,2,0,0,0,44,24,7,11,2,98,48,24,26,162,27,35,12,0,88
"E01004275",768,218,33,185,415,16,217,88,46,55,28,5,5,0,0,0,99,68,18,11,2,78,22,27,29,135,19,18,14,1,83
"E01004276",996,342,12,330,456,6,272,175,55,30,12,5,5,0,0,0,149,133,10,6,0,24,14,5,5,198,9,2,18,0,169
"E01004277",898,363,14,349,405,9,282,178,74,23,7,7,7,0,0,0,97,87,6,4,0,10,7,0,3,130,4,3,15,0,108
"E01004280",769,252,36,216,385,11,206,67,42,83,14,4,4,0,0,0,77,60,12,5,0,87,36,27,24,132,6,22,6,0,98
"E01004281",831,307,9,298,372,2,212,102,49,48,13,6,6,0,0,0,103,89,10,2,2,49,27,11,11,152,9,9,13,0,121
"E01004283",756,258,61,197,339,12,182,29,28,104,21,3,3,0,0,0,58,48,4,6,0,84,35,25,24,159,23,32,13,2,89
"E01004284",884,316,68,248,421,8,229,61,52,102,14,1,1,0,0,0,110,81,17,11,1,73,30,20,23,147,21,29,3,1,93
"E01004285",658,162,43,119,352,7,227,22,30,150,25,0,0,0,0,0,34,18,4,10,2,84,28,25,31,144,19,52,13,0,60
"E01004286",817,259,61,198,422,14,230,54,35,119,22,3,2,0,1,0,49,36,5,7,1,126,36,43,47,136,17,33,5,0,81
"E01004287",854,306,107,199,386,23,206,43,27,114,22,7,7,0,0,0,53,34,7,10,2,97,21,35,41,162,18,28,25,3,88
"E01004288",525,149,48,101,279,9,141,16,24,87,14,0,0,0,0,0,36,21,4,8,3,93,25,38,30,97,16,29,4,2,46
"E01004289",670,236,74,162,278,16,150,31,19,79,21,3,3,0,0,0,33,22,3,5,3,76,23,15,38,156,9,26,28,3,90
"E01004290",575,230,67,163,199,12,90,32,19,30,9,4,4,0,0,0,59,49,4,5,1,34,14,7,13,146,4,4,29,1,108
"E01004291",1051,533,55,478,397,21,182,116,23,31,12,8,8,0,0,0,142,130,7,5,0,44,22,6,16,121,5,7,6,1,102
